record_number,pmid,doi,title,authors,journal,year,abstract,reviewer_1_decision,reviewer_1_reasoning,reviewer_2_decision,reviewer_2_reasoning,final_decision,arbiter_needed,arbiter_notes
11,34570180,10.1001/jamaneurol.2021.3356,Effect of Methylphenidate on Apathy in Patients With Alzheimer Disease: The ADMET 2 Randomized Clinical Trial.,"Mintzer J, Lanctôt KL, Scherer RW, Rosenberg PB, Herrmann N, van Dyck CH, Padala PR, Brawman-Mintzer O, Porsteinsson AP, Lerner AJ, Craft S, Levey AI, Burke W, Perin J, Shade D, ADMET 2 Research Group.",JAMA Neurology,2021,"Importance: Apathy, characterized by diminished will or initiative and one of the most prevalent neuropsychiatric symptoms in individuals with Alzheimer disease, is associated with significant caregiver burden, excess disability, increased medical costs, and mortality. Objective: To measure whether methylphenidate compared with placebo decreases the severity of apathy in individuals with Alzheimer disease. Design, Setting, and participants: This multicenter randomized placebo-controlled clinical",MAP,dementia; RCT of methylphenidate for apathy in AD; 9 US + 1 Canadian site; published 2021; main trial results (ADMET 2),MAP,"dementia; RCT of methylphenidate for apathy in AD. 9 US + 1 Canadian clinic. Lanctot KL (Toronto), Herrmann N. Published 2021. Meets all criteria.",INCLUDE,Resolved,Full-text screening: Confirmed: ADMET 2 RCT methylphenidate for AD apathy; 1 Canadian site (Sunnybrook); primary results 2021
12,38153735,10.1001/jamanetworkopen.2023.49638,Effect of Psychological and Medication Therapies for Insomnia on Daytime Functions: A Randomized Clinical Trial.,Morin Charles M; Chen Si-Jing; Ivers Hans; Beaulieu-Bonneau Simon; Krystal Andrew D; Guay Bernard; Bélanger Lynda; Cartwright Ann; Simmons Bryan; Lamy Manon; Busby Mindy; Edinger Jack D,JAMA network open,2023,"IMPORTANCE: Daytime functional impairments are the primary reasons for patients with insomnia to seek treatment, yet little is known about what the optimal treatment is for improving daytime functions and how best to proceed with treatment for patients whose insomnia has not remitted. OBJECTIVES: To compare the efficacy of behavioral therapy (BT) and zolpidem as initial therapies for improving daytime functions among patients with insomnia and evaluate the added value of a second treatment for p",MAP,other_mental_health; unanimous,MAP,meets_criteria; RCT; insomnia disorder (DSM-5); zolpidem (pharma); Canadian PI (Morin); Canada+US sites; results 2023,INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: RCT with medication arm (zolpidem) for insomnia disorder; Canadian PI Morin (Laval); QA confirmed
13,32639561,10.1001/jamapsychiatry.2020.1767,Effectiveness of Sequential Psychological and Medication Therapies for Insomnia Disorder: A Randomized Clinical Trial.,Morin C.M.; Edinger J.D.; Beaulieu-Bonneau S.; Ivers H.; Krystal A.D.; Guay B.; Bélanger L.; Cartwright A.; Simmons B.; Lamy M.; Busby M.,JAMA Psychiatry,2020,"Importance: Despite evidence of efficacious psychological and pharmacologic therapies for insomnia, there is little information about what first-line treatment should be and how best to proceed when initial treatment fails. Objective: To evaluate the comparative efficacy of 4 treatment sequences involving psychological and medication therapies for insomnia and examine the moderating effect of psychiatric disorders on insomnia outcomes. Design, Setting, and Participants: In a sequential multiple-",MAP,other_mental_health; SMART RCT of BT and zolpidem sequences for insomnia disorder; Universite Laval Quebec City Canada is explicit site; published 2020; main trial results,MAP,other_mental_health; RCT of sequential BT and zolpidem for insomnia disorder. Morin CM - Universite Laval Quebec. Canadian site. Published 2020. Pharma arm (zolpidem). Meets all criteria.,INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: SMART RCT with zolpidem arm for insomnia disorder; Canadian PI Morin (Laval); QA confirmed
14,35151410,10.1016/s2215-0366(21)00429-6,"Efficacy and safety of balovaptan for socialisation and communication difficulties in autistic adults in North America and Europe: a phase 3, randomised, placebo-controlled trial.",Jacob S.; Veenstra-VanderWeele J.; Murphy D.; McCracken J.; Smith J.; Sanders K.; Meyenberg C.; Wiese T.; Deol-Bhullar G.; Wandel C.; Ashford E.; Anagnostou E.,Lancet Psychiatry,2022,"Background: There are no approved pharmacological therapies to support treatment of the core communication and socialisation difficulties associated with autism spectrum disorder in adults. We aimed to assess the efficacy, safety, and pharmacokinetics of balovaptan, a vasopressin 1a receptor antagonist, versus placebo in autistic adults. Methods: V1aduct was a phase 3, randomised, placebo-controlled, double-blind trial, conducted at 46 sites across six countries (the USA, the UK, France, Italy, ",MAP,asd; Phase 3 RCT; ASD (DSM-5); pharma (balovaptan); Canadian site and PI (Anagnostou Toronto); 2022; main results,MAP,"Pharmacological; ASD; Phase 3 RCT; ASD (DSM-5); balovaptan vs placebo (pharma); Canada is one of 6 countries with sites, Anagnostou E (Canadian PI); 2022; English. ASD is a DSM-5 diagnosis. Meets all criteria.",INCLUDE,Resolved,Full-text screening: Confirmed: Phase 3 RCT balovaptan for ASD; Canadian PI Anagnostou (Toronto); primary results 2022
15,36223114,10.1001/jamapsychiatry.2022.3255,Efficacy of Adjunctive D-Cycloserine to Intermittent Theta-Burst Stimulation for Major Depressive Disorder: A Randomized Clinical Trial.,Cole J.; Sohn M.N.; Harris A.D.; Bray S.L.; Patten S.B.; McGirr A.,JAMA Psychiatry,2022,"Importance: The antidepressant effects of transcranial magnetic stimulation protocols for major depressive disorder (MDD) are thought to depend on synaptic plasticity. The theta-burst stimulation (TBS) protocol synaptic plasticity is known to be N-methyl-D-aspartate (NMDA)-receptor dependent, yet it is unknown whether enhancing NMDA-receptor signaling improves treatment outcomes in MDD. Objective: To test whether low doses of the NMDA-receptor partial-agonist, D-cycloserine, would enhance interm",MAP,depression; RCT of D-cycloserine adjunct to iTBS for MDD; single Canadian site (McGirr at U Calgary); published 2022; main trial results,MAP,depression; RCT of D-cycloserine adjunctive to iTBS for MDD. McGirr A - University of Calgary. Single Canadian site. Published 2022. D-cycloserine is pharmacological. Meets all criteria.,EXCLUDE,Resolved,"Full-text screening: D-cycloserine adjunct to neurostimulation (iTBS); primary intervention is neurostim, not pharma"
16,31066887,10.1001/jamapsychiatry.2019.0779,Efficacy of Adjunctive Infliximab vs Placebo in the Treatment of Adults With Bipolar I/II Depression: A Randomized Clinical Trial.,McIntyre R.S.; Subramaniapillai M.; Lee Y.; Pan Z.; Carmona N.E.; Shekotikhina M.; Rosenblat J.D.; Brietzke E.; Soczynska J.K.; Cosgrove V.E.; Miller S.; Fischer E.G.; Kramer N.E.; Dunlap K.; Suppes T.; Mansur R.B.,JAMA Psychiatry,2019,"Importance: To our knowledge, no study has previously evaluated whether individuals with bipolar depression enriched a priori on the basis of biochemical and/or phenotypic immuno-inflammatory activation would differentially respond to an anti-inflammatory agent for the treatment of depressive symptoms. Objective: To assess the antidepressant efficacy of adjunctive infliximab, a monoclonal antibody targeting tumor necrosis factor, in adults with bipolar I and bipolar II depression and inflammator",MAP,bipolar_mood; RCT of infliximab for bipolar depression; 2 sites in Canada and US; Canadian PI (McIntyre); published 2019; main trial results,MAP,bipolar_mood; RCT of infliximab for bipolar depression. Two sites: Canada and US. McIntyre RS (Toronto). Published 2019. Meets all criteria.,INCLUDE,Resolved,Full-text screening: Confirmed: RCT infliximab for bipolar depression; Canadian PI McIntyre (Toronto); Canadian site; primary results 2019
17,26580307,10.1001/jamapsychiatry.2015.2235,"Efficacy of Bright Light Treatment, Fluoxetine, and the Combination in Patients With Nonseasonal Major Depressive Disorder: A Randomized Clinical Trial.",Lam R.W.; Levitt A.J.; Levitan R.D.; Michalak E.E.; Cheung A.H.; Morehouse R.; Ramasubbu R.; Yatham L.N.; Tam E.M.,JAMA Psychiatry,2016,"ImportanceBright light therapy is an evidence-based treatment for seasonal depression, but there is limited evidence for its efficacy in nonseasonal major depressive disorder (MDD).ObjectiveTo determine the efficacy of light treatment, in monotherapy and in combination with fluoxetine hydrochloride, compared with a sham-placebo condition in adults with nonseasonal MDD.Design, setting, and participantsRandomized, double-blind, placebo- and sham-controlled, 8-week trial in adults (aged 19-60 years",MAP,"depression; RCT of fluoxetine vs light vs combination vs placebo for MDD; Canadian PIs (Lam, Levitt, Levitan at UBC/U Toronto); published 2016; main trial results",MAP,"depression; RCT of fluoxetine (pharma) for MDD. Canadian PI (Lam RW, UBC). Published 2016. Meets all criteria.",INCLUDE,Resolved,"QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: RCT fluoxetine+bright light for MDD; fully Canadian (Lam UBC, Levitt/Levitan Toronto); primary results 2016; QA confirmed"
18,32380271,10.1016/j.bbi.2020.04.063,Efficacy of adjunctive infliximab vs. placebo in the treatment of anhedonia in bipolar I/II depression.,Lee Y.; Mansur R.B.; Brietzke E.; Carmona N.E.; Subramaniapillai M.; Pan Z.; Shekotikhina M.; Rosenblat J.D.; Suppes T.; Cosgrove V.E.; Kramer N.E.; McIntyre R.S.,Brain Behavior and Immunity,2020,"We investigated the efficacy of tumour necrosis factor (TNF)-α antagonist infliximab on a measure of anhedonia amongst individuals with bipolar I/II depression (ClinicalTrials.gov identifier NCT02363738). Adults (ages 18-65) with bipolar I/II disorder currently experiencing a major depressive episode with a higher probability of inflammatory activity were enrolled in a double-blind, 12-week clinical trial of adjunctive infliximab (5 mg/kg) and saline control, which were administered at weeks 0, 2, and 6. The primary outcome measure for the present secondary analysis was change in the Snaith-Hamilton Pleasure Scale (SHAPS) total score between placebo- and infliximab-treated subjects from baseline to weeks 6 and 12. Sixty eligible adults received treatment with infliximab (n=29) or placebo (n=31); 47 subjects completed the study. Overall, infliximab-randomized subjects exhibited significantly larger increases in SHAPS total score, denoting greater reductions in anhedonic symptoms.",MAP,"bipolar_mood; RCT of infliximab for anhedonia in bipolar I/II depression; Canadian PI (McIntyre RS, Toronto); batch5_reconciled MAP (unanimous 3/3)",MAP,"meets_all_criteria; RCT; bipolar I/II depression (DSM-5); infliximab (anti-TNF, pharmacotherapy for anhedonia); Canadian PI (McIntyre RS, Toronto); 2020",EXCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit; Full-text screening: Secondary outcome analysis (anhedonia) from same infliximab trial as Record #16 (PMID 31066887)
19,28061017,10.1111/add.13753,Feasibility and safety of extended-release naltrexone treatment of opioid and alcohol use disorder in HIV clinics: a pilot/feasibility randomized trial.,"Korthuis PT, Lum PJ, Vergara-Rodriguez P, Ahamad K, Wood E, Kunkel LE, Oden NL, Lindblad R, Sorensen JL, Arenas V, Ha D, Mandler RN, McCarty D, CTN-0055 CHOICES Investigators.",Addiction,2017,"Background and aims: HIV-infected people with substance use disorders are least likely to benefit from advances in HIV treatment. Integration of extended-release naltrexone (XR-NTX) into HIV clinics may increase engagement in the HIV care continuum by decreasing substance use. We aimed to compare (1) XR-NTX treatment initiation, (2) retention and (3) safety of XR-NTX versus treatment as usual (TAU) for treating opioid use disorder (OUD) and/or alcohol use disorder (AUD) in HIV clinics. Design: N",MAP,substance_use; RCT of XR-naltrexone for OUD/AUD in HIV clinics; Vancouver BC Canada is explicit site; published 2017; main trial results (pilot/feasibility),MAP,"substance_use; RCT of XR-naltrexone for OUD/AUD in HIV clinics. Vancouver BC site (Ahamad K, Wood E). Published 2017. Canadian recruitment. Meets all criteria.",INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: Pilot RCT XR-naltrexone for OUD/AUD in HIV clinics; Canadian site Vancouver; QA confirmed
20,37227402,10.4088/jcp.23m14780,Head-To-Head Comparison of Vortioxetine Versus Desvenlafaxine in Patients With Major Depressive Disorder With Partial Response to SSRI Therapy: Results of the VIVRE Study.,McIntyre Roger S; Florea Ioana; Pedersen Mads Møller; Christensen Michael Cronquist,The Journal of clinical psychiatry,2023,"Objective: To compare the efficacy of vortioxetine and the serotonin-norepinephrine reuptake inhibitor (SNRI) desvenlafaxine in patients with major depressive disorder (MDD) experiencing partial response to initial treatment with a selective serotonin reuptake inhibitor (SSRI). Methods: This randomized, double-blind, active-controlled, parallel-group, 8-week study of vortioxetine (10 or 20 mg/d; n = 309) versus desvenlafaxine (50 mg/d: n = 293) was conducted from June 2020 to February 2022 in ad",MAP,depression; RCT double-blind; MDD (DSM-5); pharma (vortioxetine vs desvenlafaxine); Canadian PI (McIntyre Toronto); 2023; main results,MAP,"Pharmacological; MDD; RCT (randomized double-blind active-controlled); MDD (DSM-5); vortioxetine vs desvenlafaxine (pharma); Canadian PI (McIntyre RS, University of Toronto); 2023; English. Main results of VIVRE study. Meets all criteria.",INCLUDE,Resolved,Full-text screening: Confirmed: VIVRE RCT vortioxetine vs desvenlafaxine for MDD; Canadian PI McIntyre (U of T lead investigator); no Canadian sites (12 countries) but PI leadership sufficient
21,27049826,10.1001/jamapsychiatry.2016.0109,Hydromorphone Compared With Diacetylmorphine for Long-term Opioid Dependence: A Randomized Clinical Trial.,Oviedo-Joekes E.; Guh D.; Brissette S.; Marchand K.; MacDonald S.; Lock K.; Harrison S.; Janmohamed A.; Anis A.H.; Krausz M.; Marsh D.C.; Schechter M.T.,JAMA Psychiatry,2016,"ImportanceDiacetylmorphine hydrochloride (the active ingredient in heroin), delivered under supervision, is effective for the treatment of severe opioid use disorder. However, owing to political and regulatory barriers, it is not available in many settings around the world, which limits the options for many long-term street opioid injectors not attracted into or retained in available treatments.ObjectiveTo test if injectable hydromorphone hydrochloride is noninferior to injectable diacetylmorphi",MAP,substance_use; Phase 3 RCT; pharmacological (hydromorphone vs diacetylmorphine) for opioid use disorder; Vancouver BC Canada site; published 2016; main trial results (SALOME trial),MAP,substance_use; RCT of injectable hydromorphone vs diacetylmorphine for opioid use disorder. Vancouver BC site. Published 2016. Meets all criteria.,INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: SALOME RCT hydromorphone vs diacetylmorphine for OUD; fully Canadian (Vancouver); QA confirmed
