batch,id,title,original_decision,qa_decision,category,notes
4,37902726,Exploratory Tau Biomarker Results From a Multiple Ascending-Dose Study of BIIB080 in Alzheimer Disease,MAP,MAP,dementia,Phase 1b RCT of BIIB080 (tau-targeting ASO) in mild AD. 12 sites in Canada and Europe. Published 2023. Primary trial results (biomarker endpoints). Meets all criteria.
5,25999335,Agomelatine or placebo as adjunctive therapy to a mood stabiliser in bipolar I depression,MAP,OUT_OF_SCOPE,bipolar_mood,"EXCLUDE: International multisite trial. Yatham LN is listed but abstract does not specify Canadian recruitment sites. Authors include Vieta E (Spain), Goodwin GM (UK), Bourin M (France), Calabrese J (US). Trial registration ISRCTN (non-US registry). No evidence of Canadian site from abstract. Likely non-Canadian recruitment."
5,26771737,Heterogeneity of treatment response to citalopram for patients with Alzheimers disease with aggression or agitation: The CitAD randomized clinical trial,MAP,OUT_OF_SCOPE,dementia,"EXCLUDE: Secondary analysis. Assesses ""heterogeneity of response"" using ""post-hoc exploratory analysis"" methods including ""two-stage multivariate method"" on previously published CitAD trial data. Not main trial results."
5,28185899,Lurasidone versus treatment as usual for cognitive impairment in euthymic patients with bipolar I disorder,MAP,MAP,bipolar_mood,RCT of lurasidone for cognitive impairment in bipolar I. Yatham LN - UBC Hospital Vancouver. Canadian site. Published 2017. Pharma targets bipolar-related cognitive impairment. Meets all criteria.
5,32380271,Efficacy of adjunctive infliximab vs placebo in the treatment of anhedonia in bipolar I/II depression,MAP,OUT_OF_SCOPE,bipolar_mood,"EXCLUDE: Secondary analysis of the infliximab bipolar trial (NCT02363738, same as PMID 31066887). States ""primary outcome measure for the present secondary analysis was change in the SHAPS total score."" Not main trial results."
5,38359838,Psilocybin-assisted psychotherapy for treatment resistant depression,MAP,MAP,depression,RCT of psilocybin-assisted psychotherapy for TRD. Rosenblat JD - Toronto. Canadian site (NCT05029466). Published 2024. Meets all criteria.
6,28061017,Feasibility and safety of extended-release naltrexone treatment of opioid and alcohol use disorder in HIV clinics,MAP,MAP,substance_use,"RCT of XR-naltrexone for OUD/AUD in HIV clinics. Vancouver BC site (Ahamad K, Wood E). Published 2017. Canadian recruitment. Meets all criteria."
6,32268604,Extracellular Vesicle Biomarkers Reveal Inhibition of Neuroinflammation by Infliximab in Association with Antidepressant Response in Adults with Bipolar Depression,MAP,OUT_OF_SCOPE,bipolar_mood,"EXCLUDE: Secondary/mechanistic analysis of the infliximab bipolar trial (NCT02363738, same as PMID 31066887). Biomarker analysis from the same trial. Not main trial results."
6,34303786,Micronutrients for ADHD in Youths (MADDY),MAP,OUT_OF_SCOPE,ADHD,"EXCLUDE: Micronutrients (vitamins/minerals) are NOT pharmacological intervention. This is a nutraceutical/supplement study. Three US sites (Ohio State, Oregon Health Sciences, Lethbridge-like). Authors Johnstone, Hatsu, Arnold (US). Leung BMY may be Canadian but no Canadian site confirmed. Also borderline non-pharma. Fails criterion 3 (pharma)."
6,36223114,Efficacy of Adjunctive D-Cycloserine to Intermittent Theta-Burst Stimulation for Major Depressive Disorder,MAP,MAP,depression,RCT of D-cycloserine adjunctive to iTBS for MDD. McGirr A - University of Calgary. Single Canadian site. Published 2022. D-cycloserine is pharmacological. Meets all criteria.
7,27284082,Methylene blue treatment for residual symptoms of bipolar disorder: randomised crossover study,MAP,MAP,bipolar_mood,RCT (crossover) of methylene blue for bipolar disorder. Alda M - Dalhousie. Canadian. Published 2017. Meets all criteria.
7,26460229,Optimal duration of risperidone or olanzapine adjunctive therapy to mood stabilizer following remission of a manic episode: A CANMAT randomized double-blind trial,MAP,MAP,bipolar_mood,RCT of antipsychotic duration for bipolar I. CANMAT trial - multiple Canadian sites. Yatham LN. Published 2016. Meets all criteria.
7,28013123,A randomized double-blind placebo-controlled crossover trial evaluating the effect of intranasal insulin on cognition and mood in individuals with treatment-resistant MDD,MAP,MAP,depression,"RCT of intranasal insulin for cognition/mood in TRD. McIntyre RS, Kennedy SH - Toronto. Canadian. Published 2017. Meets all criteria."
7,29666372,Brain serotonin synthesis capacity in obsessive-compulsive disorder: effects of cognitive behavioral therapy and sertraline,MAP,MAP,anxiety_trauma_ocd,RCT of CBT vs sertraline for OCD with PET neuroimaging. Benkelfat C - Montreal. Canadian site. Published 2018. Pharma arm (sertraline). Meets all criteria.
7,31147244,Optimizing Outcomes of Treatment-Resistant Depression in Older Adults (OPTIMUM),MAP,OUT_OF_SCOPE,depression,"EXCLUDE: This is a study design/protocol paper. Title includes ""Study Design and Treatment Characteristics of the First 396 Participants Randomized."" Reports methodology and baseline characteristics, NOT main trial results. States ""To date, 396 participants have been randomized."" Protocol/interim report only."
7,32349118,The association between lithium use and neurocognitive performance in patients with bipolar disorder,MAP,OUT_OF_SCOPE,bipolar_mood,"EXCLUDE: Not main trial results. This is a secondary analysis of a multi-site ongoing clinical trial of lithium monotherapy. Cross-sectional comparison of lithium users vs non-users at baseline, then longitudinal subset analysis. Not a primary RCT report."
7,28068779,Norepinephrine transporter gene variants and remission from depression with venlafaxine treatment in older adults,MAP,OUT_OF_SCOPE,depression,EXCLUDE: Pharmacogenomic secondary analysis. Investigates gene variants predicting remission in a three-site clinical trial of venlafaxine. Not the main trial results paper. Marshe VS (Toronto) but this is a secondary genetics analysis.
7,32312344,The network structure of core depressive symptom-domains in MDD following antidepressant treatment: a randomized clinical trial,MAP,OUT_OF_SCOPE,depression,"EXCLUDE: Secondary network analysis. Uses data from a randomized trial of escitalopram vs desvenlafaxine to perform network analysis of symptom domains. This is a secondary analytical approach, not the primary trial results. Berlim MT, Turecki G - Montreal."
7,30755255,Evaluation of BI 409306 a novel phosphodiesterase type 9 inhibitor in two phase II studies in prodromal and mild Alzheimers disease,MAP,OUT_OF_SCOPE,dementia,"EXCLUDE: No Canadian involvement identified. Authors are Frolich L (Germany), Wunderlich G, Thamer C, Roehrle M, Garcia M (Boehringer Ingelheim), Dubois B (France). Sites in North America and Europe but no Canadian authors or sites evident."
7,26482056,A Randomized Placebo-Controlled Discontinuation Study of Cholinesterase Inhibitors in Institutionalized Patients With Moderate to Severe Alzheimer Disease,MAP,MAP,dementia,"RCT of ChEI discontinuation in AD. Herrmann N, Lanctot KL - Sunnybrook Toronto. Canadian. Published 2016. Meets all criteria."
7,26974214,Factors associated with relapse in schizophrenia despite adherence to long-acting injectable antipsychotic therapy,MAP,OUT_OF_SCOPE,schizophrenia,"EXCLUDE: Post-hoc exploratory analysis. Explicitly states ""This was a post-hoc exploratory analysis of a 1-year study."" Secondary analysis of NCT00297388. Not main trial results. Also, Alphs L and authors are Janssen (pharma industry). Canada mentioned only as a variable in the regression."
7,29777003,Impact of Reference and Target Region Selection on Amyloid PET SUV Ratios in the Phase 1b PRIME Study of Aducanumab,MAP,OUT_OF_SCOPE,dementia,"EXCLUDE: Methodological/imaging analysis of the PRIME study. Explores impact of ROI selection on PET SUV ratios. Not main trial results. Chiao P, Bedell BJ - Biospective (Montreal company) but this is a secondary imaging methodology paper."
8,30565793,Donepezil for gait and falls in mild cognitive impairment: a randomized controlled trial,MAP,MAP,dementia,"RCT of donepezil for gait/falls in MCI. Montero-Odasso M - Western University London ON, Chertkow H, Borrie M. Canadian sites. Published 2019. Meets all criteria."
8,33316649,Exploring brain insulin resistance in adults with bipolar depression using extracellular vesicles of neuronal origin,MAP,OUT_OF_SCOPE,bipolar_mood,"EXCLUDE: Secondary/mechanistic analysis from the infliximab bipolar trial (NCT02363738, same parent trial as PMID 31066887). Biomarker analysis exploring neuronal insulin signaling. Not main trial results."
8,36281683,Oral Tau Aggregation Inhibitor for Alzheimers Disease: Design Progress and Basis for Selection of the 16 mg/day Dose,MAP,OUT_OF_SCOPE,dementia,"EXCLUDE: Study design/protocol paper for the LUCIDITY trial. Describes rationale and design, reports ""446 participants are expected to complete."" Gauthier S (Canadian) is an author. No main trial results reported yet. Protocol without results."
9,28942807,A Randomized Placebo-Controlled Trial of Metformin for the Treatment of Overweight Induced by Antipsychotic Medication in Young People With ASD: Open-Label Extension,MAP,OUT_OF_SCOPE,other_mental_health,"EXCLUDE: (1) Open-label extension, not main RCT results (main RCT is PMID 27556593). (2) Metformin targets weight gain, not a mental disorder. Fails on both secondary analysis and criterion 3."
9,29689693,Vortioxetine improves symptomatic and functional outcomes in major depressive disorder,MAP,OUT_OF_SCOPE,depression,"EXCLUDE: Secondary/post-hoc analysis. Describes ""This analysis evaluated the combined effect of vortioxetine"" using data from NCT01564862 - a multinational trial. Authors Christensen MC, Loft H (Lundbeck Denmark), McIntyre RS. Post-hoc dual outcome analysis of existing trial data. Not main results."
9,30684794,A randomized comparison of long acting methylphenidate and cognitive behavioral therapy in the treatment of binge eating disorder,MAP,MAP,eating_disorder,"RCT of methylphenidate vs CBT for BED. Quilty LC, Kaplan AS - Toronto (CAMH). Canadian. Published 2019. Pharma arm (methylphenidate). Meets all criteria."
9,31682328,Comorbid anxiety in late-life depression: Relationship with remission and suicidal ideation on venlafaxine treatment,MAP,OUT_OF_SCOPE,depression,"EXCLUDE: Secondary analysis. Examines ""influence of comorbid anxiety symptoms on antidepressant treatment remission"" in a multisite clinical trial. Uses logistic regression/survival analysis on existing trial data. Mulsant BH (Toronto) is co-author but this is not the main trial results paper. Post-hoc analysis."
9,33658605,Peripheral inflammatory biomarkers define biotypes of bipolar depression,MAP,OUT_OF_SCOPE,bipolar_mood,"EXCLUDE: Secondary analysis of the infliximab bipolar trial (NCT02363738, same parent trial as PMID 31066887). Machine learning-based biomarker analysis to identify inflammatory biotypes. Not main trial results."
