id,title,final_decision,category,vote_count,conflict_flag,reconciliation_notes
27598552,"Does a combination of physical training, specific exercises and pain education improve health-related quality of life in patients with chronic neck pain?",OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
27606825,Once hurt twice shy: Social pain contributes to social anxiety,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
27608621,The effects of a mindfulness-based lifestyle program for adults with Parkinson's disease,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
27611236,PATI: Patient accessed tailored information: A pilot study to evaluate the effect on preoperative breast cancer patients,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
27622854,Exercise during pregnancy enhances cerebral maturation in the newborn,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
27629998,Myoclonus and seizures in progressive myoclonus epilepsies: pharmacology and therapeutic trials,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
27633286,A Lack of Clinical Effect of High-frequency rTMS to Dorsolateral Prefrontal Cortex on Bulimic Symptoms,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
27758836,Adaptive working memory strategy training in early Alzheimer's disease,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
28007620,Postoperative Oxygen Therapy in Patients With OSA: A Randomized Controlled Trial,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
28061017,Feasibility and safety of extended-release naltrexone treatment of opioid and alcohol use disorder in HIV clinics,MAP,substance_use_pharma_RCT,MAP|MAP|MAP,N,Unanimous (MAP)
28102437,A comparison of the effects of medical Qigong and standard exercise therapy on symptoms and quality of life in patients with advanced cancer,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
28327116,iCAN Plan 4 Safety,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
28364426,Long-Term Maintenance of Therapeutic Gains Associated With CBT for Insomnia Combined With Zolpidem,UNCERTAIN,pharma_RCT_insomnia,MAP|UNCERTAIN|UNCERTAIN,N,Majority 2:1 (UNCERTAIN vs MAP)
28455192,"Associations Between Resilience, Community Belonging, and Social Participation Among Community-Dwelling Older Adults",OUT_OF_SCOPE,observational,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
28500224,Evaluating the safety of beta-interferons in MS: A series of nested case-control studies,OUT_OF_SCOPE,observational,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
28504542,Do changes in trauma-related beliefs predict PTSD symptom improvement in prolonged exposure and sertraline?,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE|UNCERTAIN|OUT_OF_SCOPE,N,Majority 2:1 (OUT_OF_SCOPE vs UNCERTAIN)
28525821,Effect of exercise augmentation of cognitive behavioural therapy for the treatment of suicidal ideation and depression,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
28560160,Application of calibrated fMRI in Alzheimer's disease,OUT_OF_SCOPE,observational,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
28667822,Effects of comorbid substance use disorders on outcomes in a Housing First intervention for homeless people with mental illness,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
28682531,Florida Best Practice Psychotherapeutic Medication Guidelines for Adults With Major Depressive Disorder,OUT_OF_SCOPE,guideline,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
28778699,Deep Dyspareunia in Endometriosis,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
28926526,Group interventions to reduce emotional distress and fatigue in breast cancer patients,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
28964994,Randomized controlled trial of internet-delivered cognitive behaviour therapy comparing standard weekly versus optional weekly therapist support,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29025788,Brief Mindfulness Meditation for Depression and Anxiety Symptoms in Patients Undergoing Hemodialysis,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29067341,Multiple-dose ponezumab for mild-to-moderate Alzheimer's disease,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE|UNCERTAIN|OUT_OF_SCOPE,N,Majority 2:1 (OUT_OF_SCOPE vs UNCERTAIN)
29080593,Transdiagnostic Therapy,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29103706,Alterations in ruminal bacterial populations at induction and recovery from diet-induced milk fat depression in dairy cows,OUT_OF_SCOPE,non-human,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29173598,"Mechanisms, Clinical Significance, and Prevention of Cognitive Impairment in Patients With Atrial Fibrillation",OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29209201,Do Lifestyle Activities Protect Against Cognitive Decline in Aging? A Review,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29259169,Systematic screening of generic drugs for progressive multiple sclerosis identifies clomipramine as a promising therapeutic,OUT_OF_SCOPE,preclinical,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29329499,A pilot study of the comparative efficacy of 100 Hz magnetic seizure therapy and electroconvulsive therapy in persistent depression,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29356210,Clinical course and prognostic factors across different musculoskeletal pain sites,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29389748,Clinical trials in autism spectrum disorder: Evidence challenges and future directions,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29417831,Effectiveness of aquatic exercises compared to patient-education on health status in individuals with knee osteoarthritis,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29448970,Dementia clinical trial implications of mild behavioral impairment,OUT_OF_SCOPE,editorial,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29563078,Evaluating a Web-Based Social Anxiety Intervention Among University Students,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29614998,Prevalence of anxiety and depression symptoms and their associated factors in mild COPD patients,OUT_OF_SCOPE,observational,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29661156,SYNERGIC TRIAL,UNCERTAIN,pharma_RCT_MCI,MAP|UNCERTAIN|OUT_OF_SCOPE,N,3-way split (MAP+OUT_OF_SCOPE+UNCERTAIN) -> UNCERTAIN (conservative)
29664955,Efficacy of a biomechanically-based yoga exercise program in knee osteoarthritis,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29701939,Bilateral Repetitive Transcranial Magnetic Stimulation Decreases Suicidal Ideation in Depression,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29775722,Inflammatory and oxidative mechanisms potentiate bifenthrin-induced neurological alterations and anxiety-like behavior in adult rats,OUT_OF_SCOPE,preclinical,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29936147,Use of nonintrusive sensor-based information and communication technology for real-world evidence for clinical trials in dementia,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
29949232,The effects of melatonin supplementation on mental health in patients under methadone maintenance treatment,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE|UNCERTAIN|OUT_OF_SCOPE,N,Majority 2:1 (OUT_OF_SCOPE vs UNCERTAIN)
29991347,Optimising first- and second-line treatment strategies for untreated major depressive disorder - the SUN☺D study,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30087557,Effects of creative expression therapy for older adults with mild cognitive impairment at risk of Alzheimer's disease,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30126458,Anti-inflammatory treatment of depression: Study protocol for vortioxetine augmented with celecoxib,UNCERTAIN,depression_pharma_RCT,UNCERTAIN|MAP|OUT_OF_SCOPE,N,3-way split (MAP+OUT_OF_SCOPE+UNCERTAIN) -> UNCERTAIN (conservative)
30178064,Effect of Residential Lead-Hazard Interventions on Childhood Blood Lead Concentrations and Neurobehavioral Outcomes,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30235716,Comparative study of esketamine and racemic ketamine in treatment-resistant depression: Protocol for a non-inferiority clinical trial,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30336852,Intraoperative ketamine for prevention of depressive symptoms after major surgery in older adults,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|UNCERTAIN,N,Majority 2:1 (OUT_OF_SCOPE vs UNCERTAIN)
30474794,An exploratory study of experiences with conventional eating disorder treatment and ceremonial ayahuasca for the healing of eating disorders,OUT_OF_SCOPE,qualitative,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30524702,Anti-cytokine agents for anhedonia: targeting inflammation and the immune system to treat dimensional disturbances in depression,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30621831,Cognitive Behavioral Therapy for Insomnia Reduces Depression in Cancer Survivors,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30622095,Improving the Efficacy of Cognitive Training for Digital Mental Health Interventions Through Avatar Customization,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30632533,Comparison of Efficiency Between Corticosteroid and Platelet Rich Plasma Injection Therapies in Patients With Knee Osteoarthritis,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30687936,Pharmacotherapies for cannabis dependence,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30738126,The glycine site of NMDA receptors: A target for cognitive enhancement in psychiatric disorders,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30756134,Targeting the immune system in the treatment of bipolar disorder,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30767826,High- versus low-intensity interventions for perinatal depression delivered by non-specialist primary maternal care providers in Nigeria,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30773118,Cognitive Decline in Older Patients With Non-ST Elevation Acute Coronary Syndrome,OUT_OF_SCOPE,observational,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30782893,HORYZONS trial: protocol for a randomised controlled trial of a moderated online social therapy,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30825720,An initial review of residual symptoms after empirically supported trauma-focused cognitive behavioral psychological treatment,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30833367,Randomized Trial of a Tailored Cognitive Behavioral Intervention in Type 2 Diabetes With Comorbid Depressive and/or Regimen-Related Distress Symptoms,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30917802,Antidepressants for depression after concussion and traumatic brain injury are still best practice,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30986736,Comparison and change of defense mechanisms over the course of psychotherapy in patients with depression or anxiety disorder,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
30993478,Cognitive Behavioral Therapy for Trauma and Self-Care (CBT-TSC) in Men Who have Sex with Men with a History of Childhood Sexual Abuse,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
31145143,The evidence for physical activity in the management of major mental illnesses,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
31164429,The role of CPAP treatment in elderly patients with moderate obstructive sleep apnoea,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
31209605,Canadian consensus statement: enhanced recovery after surgery in bariatric surgery,OUT_OF_SCOPE,guideline,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
31241816,"Cyclic vomiting syndrome: Pathophysiology, comorbidities, and future research directions",OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
31306439,App4Independence (A4i),OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
31332903,A multivariate neuroimaging biomarker of individual outcome to transcranial magnetic stimulation in depression,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
31464812,Using telerehabilitation to improve cognitive function in post-stroke survivors,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
31521543,A pragmatic randomized controlled trial exploring the relationship between pulse number and response to repetitive transcranial magnetic stimulation treatment in depression,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
31530227,Treatment of Persistent Post-Traumatic Headache and Post-Concussion Symptoms Using Repetitive Transcranial Magnetic Stimulation,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
31585686,Examining patterns of dose response for clients who do and do not complete cognitive processing therapy,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
31668596,New directions in clinical trials for frontotemporal lobar degeneration: Methods and outcome measures,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
31699604,Family-Based Mental Health Promotion for Somali Bantu and Bhutanese Refugees,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
31743998,Effects of a Modified Tai Chi Program on Older People with Mild Dementia,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
31782760,Regional differences in Alzheimers disease pathology confound behavioural rescue after amyloid-beta attenuation,OUT_OF_SCOPE,preclinical,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
31862574,The effects of imagery rescripting on memory outcomes in social anxiety disorder,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
31886216,The Efficacy of Cognitive Training for Elderly Chinese Individuals with Mild Cognitive Impairment,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
32010781,Focused ultrasound delivery of a selective TrkA agonist rescues cholinergic function in a mouse model of Alzheimer's disease,OUT_OF_SCOPE,preclinical,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
32032096,"Preoperative Cognitive Abnormality, Intraoperative Electroencephalogram Suppression, and Postoperative Delirium",OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
32108529,"Microdosing psychedelics: Demographics, practices, and psychiatric comorbidities",OUT_OF_SCOPE,observational,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
32268604,Extracellular Vesicle Biomarkers Reveal Inhibition of Neuroinflammation by Infliximab in Association with Antidepressant Response in Adults with Bipolar Depression,MAP,bipolar_pharma_RCT,MAP|MAP|MAP,N,Unanimous (MAP)
32382720,Predictors of remission after repetitive transcranial magnetic stimulation for the treatment of major depressive disorder,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
32512513,The effects of repetitive transcranial magnetic stimulation on cue-induced craving in male patients with heroin use disorder,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
32554770,Comorbidity is associated with disease activity in MS: Findings from the CombiRx trial,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
32561673,Ketamine Affects Prediction Errors about Statistical Regularities: A Computational Single-Trial Analysis of the Mismatch Negativity,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
32569871,Wnt modulation in bone healing,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
32673661,Midterm Outcomes of the Dissected Aorta Repair Through Stent Implantation Trial,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
32813051,The emotional impact of the COVID-19 pandemic on individuals with progressive multiple sclerosis,OUT_OF_SCOPE,observational,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
32858352,Sleep bruxism and its associations with insomnia and OSA in the general population of Sao Paulo,OUT_OF_SCOPE,observational,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
32885995,The pharmacological management of chronic lower back pain,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
33124984,Effects of a Mobile and Web App (Thought Spot) on Mental Health Help-Seeking Among College and University Students,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
33226269,Profile of Somryst Prescription Digital Therapeutic for Chronic Insomnia,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
33275151,Association Between Quality of Life and Procedural Outcome After Catheter Ablation for Atrial Fibrillation,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
33323410,Aβ oligomers induce pathophysiological mGluR5 signaling in Alzheimer's disease model mice in a sex-selective manner,OUT_OF_SCOPE,preclinical,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
