id,title,final_decision,category,vote_count,conflict_flag,reconciliation_notes
38352079,"Mental Illness Diagnoses May Not Cause All Mental Symptoms: A Simulation Study for Major Depressive Episodes, Dysthymic Disorder, and Manic Episodes.",OUT_OF_SCOPE,not RCT; simulation,OUT_OF_SCOPE:2,none,both screeners agree
38343833,Because We Love You (BeWeL): A protocol for a randomized controlled trial of two brief interventions focused on social and cultural connectedness to reduce risk for suicide and substance misuse in young Alaska Native people.,OUT_OF_SCOPE,protocol; non-pharma; non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38343313,Harnessing Placebo Effects for the Treatment of Functional Cognitive Disorder: A Feasibility Pilot Study.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38342033,"Efficacy of accelerated deep transcranial magnetic stimulation wi̇th double cone coi̇l in obsessive-compulsive disorder: A double-blind, placebo-controlled study.",OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38336164,The efficacy and safety of sertraline in maintenance hemodialysis patients with depression: A randomized controlled study.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38332909,Serum S100A8/A9 and MMP-9 levels are elevated in systemic lupus erythematosus patients with cognitive impairment.,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:2,none,both screeners agree
38330322,"Pretreatment relationship characteristics predict outcomes from an uncontrolled trial of intensive, multicouple group PTSD treatment.",OUT_OF_SCOPE,non-Canadian; uncontrolled,OUT_OF_SCOPE:2,none,both screeners agree
38327498,High-frequency rTMS over bilateral primary motor cortex improves freezing of gait and emotion regulation in patients with Parkinson's disease: a randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; not MH pharma,OUT_OF_SCOPE:2,none,both screeners agree
38325605,The magnitude and sustainability of treatment benefit of zuranolone on function and well-being as assessed by the SF-36 in adult patients with MDD and PPD: An integrated analysis of 4 randomized clinical trials.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38321914,Intergenerational Effects of the Fast Track Intervention on Next-Generation Child Outcomes: A Preregistered Randomized Clinical Trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38313658,Use of cognitive-behavioral career coaching to reduce work anxiety and depression in public employees.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38312234,Instant and short-term effects of acupuncture for depression and anxiety in unstable angina pectoris patients with percutaneous coronary interventions.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38306509,"Application effect of behavioral cognition combined with psychological intervention on orthodontic patients: A prospective, randomized, controlled trial.",OUT_OF_SCOPE,non-Canadian; non-pharma; not MH,OUT_OF_SCOPE:2,none,both screeners agree
38306352,A computational model to characterize the time-course of response to rapid antidepressant therapies.,OUT_OF_SCOPE,not RCT; computational study,OUT_OF_SCOPE:2,none,both screeners agree
38301091,Celecoxib in Treatment of Postpartum Depression: A Case Report.,OUT_OF_SCOPE,case report,OUT_OF_SCOPE:2,none,both screeners agree
38293596,Comparing the efficacy of duloxetine and nortriptyline in alleviating the symptoms of functional dyspepsia - a randomized clinical trial.,OUT_OF_SCOPE,non-Canadian; not MH primary,OUT_OF_SCOPE:2,none,both screeners agree
38285160,Study of electronic biofeedback combined with nursing intervention in the treatment of vascular cognitive impairment-no dementia.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH,OUT_OF_SCOPE:2,none,both screeners agree
38281595,Individual deviations from normative electroencephalographic connectivity predict antidepressant response.,OUT_OF_SCOPE,secondary analysis; non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38276013,"A Comparison of the Anxiolytic Properties of Tofisopam and Diazepam: A Double-Blind, Randomized, Crossover, Placebo-Controlled Pilot Study.",OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38271079,A pilot trial of a brief intervention for cannabis use supplemented with a substance-free activity session or relaxation training.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38263368,The effect of music on the operating surgeon: a pilot randomized crossover trial (the MOSART study).,OUT_OF_SCOPE,non-Canadian; not MH; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38260017,Effect of deep brain stimulation compared with drug therapy alone on the progression of Parkinson's disease.,OUT_OF_SCOPE,non-Canadian; not MH primary,OUT_OF_SCOPE:2,none,both screeners agree
38259422,Evaluating the impact of motivational interviewing on engagement and outcomes in a web-based self-help intervention for gambling disorder: A randomised controlled trial.,OUT_OF_SCOPE,non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38258865,Associations of Methadone and BUP/NX Dose Titration Patterns With Retention in Treatment and Opioid Use in Individuals With Prescription-Type Opioid Use Disorder: Secondary Analysis of the OPTIMA Study.,OUT_OF_SCOPE,secondary analysis,OUT_OF_SCOPE:2,none,both screeners agree
38258568,Healthcare utilization before and during the COVID-19 pandemic among mothers and birthing parents with elevated levels of postpartum depression symptoms.,OUT_OF_SCOPE,observational; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38253032,Toward a nuanced assessment of the role of intensive home visiting in improving outcomes for families: commentary on Catherine et al. (2023).,OUT_OF_SCOPE,commentary,OUT_OF_SCOPE:2,none,both screeners agree
38247574,Effect of cognitive behavior therapy based on the health education pathway on psychology of papillary thyroid carcinoma patients: a randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH primary,OUT_OF_SCOPE:2,none,both screeners agree
38241803,Effects of lavender essential oil inhalation aromatherapy on depression and sleep quality in stroke patients: A single-blind randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38237637,"Therapeutic Effects of Tamsulosin in Nightmare Disorder: A Randomized, Double Blind, Placebo-Controlled, Cross-Over, Pilot Study.",OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38234393,Feasibility Study of the Boston Naming Test for the Arab Population.,OUT_OF_SCOPE,not RCT; not MH,OUT_OF_SCOPE:2,none,both screeners agree
38232776,"Efficacy of transcranial direct current stimulation for treating anhedonia in patients with depression: A randomized, double-blind, sham-controlled clinical trial.",OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38232439,Association between high-threshold practices and buprenorphine treatment termination.,OUT_OF_SCOPE,non-Canadian; observational,OUT_OF_SCOPE:2,none,both screeners agree
38228914,Connectivity-guided intermittent theta burst versus repetitive transcranial magnetic stimulation for treatment-resistant depression: a randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38228395,"Pharmacometabolomics in Drug Disposition, Toxicity, and Precision Medicine.",OUT_OF_SCOPE,review,OUT_OF_SCOPE:2,none,both screeners agree
38218932,Active versus sham DLPFC-NAc rTMS for depressed adolescents with anhedonia using resting-state functional magnetic resonance imaging (fMRI): a study protocol for a randomized placebo-controlled trial.,OUT_OF_SCOPE,protocol; non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38216917,Adjuvant administration of probiotic effects on sexual function in depressant women undergoing SSRIs treatment: a double-blinded randomized controlled trial.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38204767,The Effectiveness of Rajyoga Meditation as an Adjuvant for Panic Anxiety Syndrome.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38199406,"Efficacy and safety of intermittent theta burst stimulation on adolescents and young adults with major depressive disorder: A randomized, double blinded, controlled trial.",OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38192206,Efficacy and safety of pregabalin vs carbamazepine in patients with central post-stroke pain.,OUT_OF_SCOPE,non-Canadian; not MH primary,OUT_OF_SCOPE:2,none,both screeners agree
38186634,Brain ventricle and choroid plexus morphology as predictor of treatment response in major depression: Findings from the EMBARC study.,OUT_OF_SCOPE,non-Canadian; secondary analysis,OUT_OF_SCOPE:2,none,both screeners agree
38170541,Home-Use Transcranial Direct Current Stimulation for the Treatment of a Major Depressive Episode: A Randomized Clinical Trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38167460,Correction: Clinical and cost-effectiveness of a New psychosocial intervention to support Independence in Dementia (NIDUS-family) for family carers and people living with dementia in their own homes: a randomised controlled trial,OUT_OF_SCOPE,correction; non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38165374,FDA Patient-Focused Drug Development Guidances: Considerations for Trial Readiness in Rare Developmental and Epileptic Encephalopathies.,OUT_OF_SCOPE,not RCT; regulatory guidance,OUT_OF_SCOPE:2,none,both screeners agree
38164826,An investigation into the correlation between early-to-mid pregnancy exercise combined with cognitive behavioral therapy and anxiety levels and quality of life in patients.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38160889,"Prospectively assessed summer mood status in major depression, recurrent with seasonal pattern: Evidence for SAD's construct validity.",OUT_OF_SCOPE,non-Canadian; observational followup,OUT_OF_SCOPE:2,none,both screeners agree
38158049,Evaluating the impact of adjunct bright light therapy on subjective sleep quality in major depressive disorder.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38156242,Effect of acupuncture on mild cognitive impairment in the elderly: A randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH,OUT_OF_SCOPE:2,none,both screeners agree
38151181,"Effect of Chaihu-Shugan-San on functional dyspepsia and gut microbiota: A randomized, double-blind, placebo-controlled trial.",OUT_OF_SCOPE,non-Canadian; not MH,OUT_OF_SCOPE:2,none,both screeners agree
38150768,"TMS in combination with a pain directed intervention for the treatment of fibromyalgia - A randomized, double-blind, sham-controlled trial.",OUT_OF_SCOPE,non-Canadian; non-pharma; not MH primary,OUT_OF_SCOPE:2,none,both screeners agree
38149653,Effects of contralateral versus ipsilateral electroacupuncture for analgesia and rehabilitation after unilateral total knee arthroplasty: a randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH,OUT_OF_SCOPE:2,none,both screeners agree
38143779,A Hierarchical Multi-Dimensional Cognitive Training Program for Preventive Cognitive Decline in Acute Ischemic Stroke Patients: Study Protocol for a Randomized Controlled Trial.,OUT_OF_SCOPE,protocol; non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38141403,"Safety and tolerability of inhaled N,N-Dimethyltryptamine (BMND01 candidate): A phase I clinical trial.",OUT_OF_SCOPE,non-Canadian; not MH (healthy volunteers),OUT_OF_SCOPE:2,none,both screeners agree
38138957,Effects of Anxious Depression on Antidepressant Treatment Response.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38130375,Duloxetine plus exercise for knee osteoarthritis and depression: A feasibility study.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38116669,The efficacy and safety of adding celecoxib to escitalopram for improving symptoms of major depressive disorder.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38106401,"Effects of self-help mindfulness-based cognitive therapy on mindfulness, symptom change, and suicidal ideation in patients with depression: a randomized controlled study.",OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38101205,Neurobiological basis of reinforcement-based decision making in adults with ADHD treated with lisdexamfetamine dimesylate: Preliminary findings and implications for mechanisms influencing clinical improvement.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38100389,"Influence of Neostigmine on Early Postoperative Cognitive Dysfunction in Older Adult Patients Undergoing Noncardiac Surgery: A Double-Blind, Placebo-Controlled, Randomized Controlled Trial.",OUT_OF_SCOPE,non-Canadian; not MH,OUT_OF_SCOPE:2,none,both screeners agree
38086858,Clinical efficacy of the mulligan maneuver for cervicogenic headache: a randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH,OUT_OF_SCOPE:2,none,both screeners agree
38082225,Effects of anterior approach to quadratus lumborum block on postoperative cognitive function following hip surgery in older people: a randomized controlled clinical trial.,OUT_OF_SCOPE,non-Canadian; not MH,OUT_OF_SCOPE:2,none,both screeners agree
38079408,Can new approaches to synthesising evidence help achieve a consensus in psychotherapy research?,OUT_OF_SCOPE,commentary; not RCT,OUT_OF_SCOPE:2,none,both screeners agree
38079034,Brief Report: Virtual Reality to Raise Awareness About Autism.,OUT_OF_SCOPE,non-pharma; not MH treatment,OUT_OF_SCOPE:2,none,both screeners agree
38064630,Effects of Traditional Chinese Medicine Five-Element Music Therapy Combined with Mirtazapine on Depression and Limb Function Recovery After Ischemic Stroke.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38064262,"The Role of Daily Steps in the Treatment of Major Depressive Disorder: Secondary Analysis of a Randomized Controlled Trial of a 6-Month Internet-Based, Mindfulness-Based Cognitive Behavioral Therapy Intervention for Youth.",OUT_OF_SCOPE,secondary analysis; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38060308,Repetitive Transcranial Magnetic Stimulation With and Without Text4Support for the Treatment of Resistant Depression: Protocol for a Patient-Centered Multicenter Randomized Controlled Pilot Trial.,OUT_OF_SCOPE,protocol; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38059944,Identifying who benefits most from supportive versus expressive techniques in psychotherapy for depression: Moderators of within- versus between-individual effects.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38055283,Clinical Outcomes of Magnetic Seizure Therapy vs Electroconvulsive Therapy for Major Depressive Episode: A Randomized Clinical Trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38049760,Abnormal alterations of regional spontaneous neuronal activity and functional connectivity in insomnia patients with difficulty falling asleep: a resting-state fMRI study.,OUT_OF_SCOPE,observational; non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38043646,EEG synchronized left prefrontal transcranial magnetic stimulation (TMS) for treatment resistant depression is feasible and produces an entrainment dependent clinical response: A randomized controlled double blind clinical trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38035737,"Add-on pramipexole for anhedonic depression: study protocol for a randomised controlled trial and open-label follow-up in Lund, Sweden.",OUT_OF_SCOPE,non-Canadian; protocol,OUT_OF_SCOPE:2,none,both screeners agree
38026787,"The Impact of Injectable Opioid Agonist Treatment (iOAT) on Involvement in Criminalized Activities: A Secondary Analysis from a Clinical Trial in Vancouver, BC.",OUT_OF_SCOPE,secondary analysis,OUT_OF_SCOPE:2,none,both screeners agree
38022835,"A 6-week, phase IIb, randomized, double-blind, placebo-controlled trial of Anyu Peibo capsules for the treatment of major depressive disorder in adults.",OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38009933,Pharmacogenetics of Biochemically Verified Abstinence in an Opioid Agonist Therapy Randomized Clinical Trial of Methadone and Buprenorphine/Naloxone.,OUT_OF_SCOPE,secondary analysis,OUT_OF_SCOPE:2,none,both screeners agree
37989532,Antidepressant effects of dexmedetomidine compared with ECT in patients with treatment-resistant depression.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
37971845,"Effect of music on preoperative anxiety using the Hamilton State-Trait Anxiety Inventory (STAI) in patients undergoing cataract surgery in the University of Nigeria Teaching Hospital, Ituku Ozalla.",OUT_OF_SCOPE,non-Canadian; non-pharma; not MH,OUT_OF_SCOPE:2,none,both screeners agree
37969858,Increased functional connectivity between the midbrain and frontal cortex following bright light therapy in subthreshold depression: A randomized clinical trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
37960717,Evaluation of a Video-Based Education Intervention for Parents of Children Undergoing Fontan Surgery: A Cluster Randomized Controlled Trial.,OUT_OF_SCOPE,non-pharma; not MH,OUT_OF_SCOPE:2,none,both screeners agree
37957926,Assessing the efficacy and safety of Craniosacral therapy for migraine: A single center randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH,OUT_OF_SCOPE:2,none,both screeners agree
37952772,Is intravenous valproate more efficacious than oral valproate for inpatients with bipolar I disorder with a manic or depressive episode and concomitant symptoms of opposite polarity?,OUT_OF_SCOPE,non-Canadian; not randomized,OUT_OF_SCOPE:2,none,both screeners agree
37943587,The efficacy of citalopram or escitalopram in patients with asthma and major depressive disorder.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
37938152,Effect of Electroacupuncture Versus Cognitive Behavioral Therapy for Perimenopausal Insomnia: Protocol for a Noninferiority Randomized Controlled Trial.,OUT_OF_SCOPE,non-Canadian; non-pharma; protocol,OUT_OF_SCOPE:2,none,both screeners agree
37934579,Comparing the effectiveness of CBT and low-frequency rTMS in reducing symptom severity and depression and improving working memory in adults with OCD: a clinical trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
37930200,Supporting Clinical Competencies in Men's Mental Health Using the Men in Mind Practitioner Training Program: User Experience Study.,OUT_OF_SCOPE,non-pharma; not patient treatment,OUT_OF_SCOPE:2,none,both screeners agree
37933521,"Adjunctive brexpiprazole 1 mg and 2 mg daily for Japanese patients with major depressive disorder following inadequate response to antidepressants: a phase 2/3, randomized, double-blind (BLESS) study.",OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
37930199,The Relationship of Early Sleep Improvement With Response to Pharmacotherapy in Unipolar Psychotic Depression.,OUT_OF_SCOPE,non-Canadian; secondary analysis,OUT_OF_SCOPE:2,none,both screeners agree
37922732,"The effect of zolpidem-CR on the suicide item of the Hamilton Rating Scale for Depression in outpatients with depression, insomnia and suicidal ideation: Lessons learned.",OUT_OF_SCOPE,non-Canadian; secondary analysis,OUT_OF_SCOPE:2,none,both screeners agree
37915094,"Examining the impact of a universal social and emotional learning intervention (Passport) on internalising symptoms and other outcomes among children, compared to the usual school curriculum: study protocol for a school-based cluster randomised trial.",OUT_OF_SCOPE,non-Canadian; non-pharma; protocol,OUT_OF_SCOPE:2,none,both screeners agree
37913740,Development and validation of Ayurveda based assessment scale for anxiety.,OUT_OF_SCOPE,non-Canadian; scale validation,OUT_OF_SCOPE:2,none,both screeners agree
37907321,Worsening stimulant use disorder outcomes coinciding with off-label antipsychotic prescribing: a commonly unrecognised side effect?,OUT_OF_SCOPE,case report,OUT_OF_SCOPE:2,none,both screeners agree
37907036,"Comparison of tandospirone and escitalopram as a symptomatic treatment in Multiple System Atrophy-cerebellar ataxia: An open-label, non-controlled, 4 weeks observational study.",OUT_OF_SCOPE,observational; non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
37905735,Methylxanthine for the prevention and treatment of apnea in preterm infants.,OUT_OF_SCOPE,review; not MH,OUT_OF_SCOPE:2,none,both screeners agree
37899716,Associations Between Buprenorphine\Naloxone and Methadone Treatment and non-Opioid Substance Use in Prescription-Type Opioid Use Disorder: Secondary Analyses From the OPTIMA Study,OUT_OF_SCOPE,secondary analysis,OUT_OF_SCOPE:2,none,both screeners agree
37893840,Benefits of Urban Forest Healing Program on Depression and Anxiety Symptoms in Depressive Patients.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
37887975,Can Leucine Supplementation Improve Frailty Index Scores?,OUT_OF_SCOPE,not MH; non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
37886444,Comparing sleep measures in cancer survivors: Self-reported sleep diary versus objective wearable sleep tracker.,OUT_OF_SCOPE,not MH; not RCT primary,OUT_OF_SCOPE:2,none,both screeners agree
37881420,A Comparison between Single and Double-Dose Intravenous Ketamine Administration in Bipolar Mood Disorder: A Double-Blind Controlled Clinical Trial.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
37878284,"A Standardized Withania somnifera (Linn.) Root Extract with Piperine Alleviates the Symptoms of Anxiety and Depression by Increasing Serotonin Levels: A Double-Blind, Randomized, Placebo-Controlled Study.",OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
37875578,Efficacy and safety of zuranolone co-initiated with an antidepressant in adults with major depressive disorder: results from the phase 3 CORAL study.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
37865342,Efficacy and moderators of metacognitive training for depression in older adults (MCT-Silver): A randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
37863972,Rapid improvements and subsequent effects in major depressive disorder patients with somatic pain using rTMS combined with sertraline.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
37863366,Specialist treatment for persistent depression in secondary care: Sustained effects from a multicentre UK study at 24 and 36 months.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
37857544,Efficacy of Tuina in chronic low back pain with anxiety: study protocol for a randomised controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma; protocol,OUT_OF_SCOPE:2,none,both screeners agree
37854169,"Influence of Melatonin Treatment on Emotion, Sleep, and Life Quality in Perimenopausal Women: A Clinical Study.",OUT_OF_SCOPE,non-Canadian; not MH diagnosis,OUT_OF_SCOPE:2,none,both screeners agree
37846462,Factors Associated with Antidepressant Effects of Ketamine: A Reanalysis of Double-Blind Randomized Placebo-Controlled Trial of Intravenous Ketamine for Treatment-Resistant Depression.,OUT_OF_SCOPE,non-Canadian; secondary analysis,OUT_OF_SCOPE:2,none,both screeners agree
37842359,Comparison of Hamilton Depression Rating Scale and Montgomery-Åsberg Depression Rating Scale: Baked Straight From a Randomized Study.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
37830771,"myHealthHub for older adult inpatients to reduce loneliness, and improve patient engagement and mental health: protocol of a pilot randomized controlled trial.",OUT_OF_SCOPE,protocol; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
37827257,Effect of aripiprazole on promoting cognitive function and enhancing clinical efficacy in patients with first-episode depression on escitalopram: A randomized controlled trial.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
37816252,Association Between Post-COVID Pulmonary Dysfunction and New-Onset Anxiety and Depression and the Impact of Incentive Spirometer-Based Exercises.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
37815004,Effects of 3-month Qigong exercise on heart rate variability and respiration in anxious college students.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH diagnosis,OUT_OF_SCOPE:2,none,both screeners agree
37814607,Evaluating the Efficacy and Underlying Mechanisms of Acupuncture for Chronic Subjective Tinnitus Using Functional Near-Infrared Spectroscopy: Study Protocol for a Randomized Controlled Trial.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH; protocol,OUT_OF_SCOPE:2,none,both screeners agree
37811314,Primary healthcare provider experience of knowledge brokering interventions for mood management.,OUT_OF_SCOPE,qualitative; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
37802223,Evaluation of audit and feedback to family physicians on prescribing of opioid analgesics to opioid-naïve patients: A pragmatic randomized delay trial.,OUT_OF_SCOPE,not MH treatment,OUT_OF_SCOPE:2,none,both screeners agree
37800194,Circadian Reinforcement Therapy in Combination With Electronic Self-Monitoring to Facilitate a Safe Postdischarge Period for Patients With Major Depression: Randomized Controlled Trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
37798662,An open-label pilot trial assessing tolerability and feasibility of LSD microdosing in patients with major depressive disorder (LSDDEP1).,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
37795687,Cognitive behavioral therapy in patients with deep brain stimulation for obsessive-compulsive disorder: a matched controlled study.,OUT_OF_SCOPE,non-Canadian; non-pharma; not RCT,OUT_OF_SCOPE:2,none,both screeners agree
37779552,Depression in Diabetes-The Hidden Bane.,OUT_OF_SCOPE,observational; non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
37776559,Intrathecal autologous thrombin-activated condensed platelet cytokines in chronic neurodegenerative disease: A hypothesis for anti-inflammatory and regenerative response.,OUT_OF_SCOPE,not RCT; hypothesis paper,OUT_OF_SCOPE:2,none,both screeners agree
37763233,Effects of Treatment with Probiotics on Cognitive Function and Regulatory Role of Cortisol and IL-1β in Adolescent Patients with Major Depressive Disorder.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
