batch,id,title,original_decision,qa_decision,category,notes
15,31382932,Cost-effectiveness analysis of a randomized study of depression treatment options in primary care suggests stepped-care treatment may have economic benefits,MAP,OUT,secondary_analysis,Cost-effectiveness/economic secondary analysis of an RCT; not main clinical results
15,34034067,The effect of intravenous ketamine on cognitive functions in adults with treatment-resistant major depressive or bipolar disorders,MAP,OUT,not_rct,Retrospective study of clinical data from CRTCE; explicitly states retrospective study design; not an RCT
15,34130243,D-cycloserine normalizes long-term motor plasticity after transcranial magnetic intermittent theta-burst stimulation in major depressive disorder,MAP,OUT,mechanistic,Mechanistic neurophysiology study; outcome is motor evoked potentials not clinical MH outcomes; n=12 per group
15,38280392,Safety and efficacy of laquinimod for Huntington's disease (LEGATO-HD),MAP,OUT,not_mh,Huntington disease is a neurodegenerative movement disorder not a DSM-5 mental health diagnosis; pharma targets motor function and caudate volume
15,39476073,Slowing Cognitive Decline in Major Depressive Disorder and Mild Cognitive Impairment: A Randomized Clinical Trial,MAP,OUT,non_pharma,Intervention is cognitive remediation plus transcranial direct current stimulation (tDCS); non-pharmacological
16,26305394,The Influence of Posttraumatic Stress Disorder on Treatment Outcomes of Patients With Borderline Personality Disorder,MAP,OUT,non_pharma,Secondary analysis of psychotherapy RCT (DBT vs GPM); non-pharmacological intervention
16,26923796,A patient decision aid for antidepressant use in pregnancy: study protocol for a randomized controlled trial,MAP,OUT,protocol,Study protocol only; no main results
16,27305830,Visual working memory deterioration preceding relapse in psychosis,MAP,OUT,non_canadian,Hong Kong-based RCT; Honer (UBC) is co-author but PI and site are in Hong Kong
16,27754700,Effect of Aptensio XR (Methylphenidate HCl Extended-Release) Capsules on Sleep in Children with ADHD,MAP,OUT,non_canadian,US-based clinical trials (analog classroom studies); Weiss as co-author but sites appear US-based
16,28341540,Clinical meaningfulness of ADAS-Cog subscale change in relation to goal attainment in patients on cholinesterase inhibitors,MAP,OUT,secondary_analysis,Exploratory/secondary analysis of patients on cholinesterase inhibitors; not main RCT results
16,30153634,Serum and plasma BDNF and response in a randomized controlled trial of riluzole for treatment resistant depression,MAP,OUT,non_canadian,US-based study (Yale Baylor); no Canadian site or PI
16,31645229,Feasibility and efficacy of a hospital-based violence intervention program on reducing repeat violent injury in youth,MAP,OUT,non_pharma_not_mh,Behavioral intervention (EDVIP) not pharmacotherapy; violent injury not a DSM-5 MH diagnosis
16,31763491,Rationale and design of an international randomized placebo-controlled trial of a 36-ingredient micronutrient supplement for children with ADHD,MAP,OUT,protocol,Study protocol/design paper only; no main results
16,32421603,Efficacy and cost-effectiveness of intensive short-term dynamic psychotherapy for treatment resistant depression,MAP,OUT,non_pharma,Psychotherapy intervention (ISTDP); non-pharmacological
16,32963103,Neural effects of oxytocin and mimicry in frontotemporal dementia: A randomized crossover study,MAP,OUT,mechanistic,Mechanistic neuroimaging study; primary outcome is BOLD signal not clinical symptoms
16,33721740,The Impact of a Harry Potter-Based CBT Skills Curriculum on Suicidality and Well-being in Middle Schoolers,MAP,OUT,non_pharma,CBT-based educational curriculum; non-pharmacological intervention
16,34193961,Treatment of mixed depression with theta-burst stimulation: results from a double-blind randomized sham-controlled clinical trial,MAP,OUT,non_pharma,Theta-burst stimulation is neuromodulation; non-pharmacological
16,34261526,The safety and efficacy of fecal microbiota transplantation in bipolar disorder during depressive episodes,MAP,OUT,protocol,Study protocol for pilot RCT; no main results
16,35815022,Building Emotional Awareness and Mental Health (BEAM): A Pilot RCT of an App-Based Program for Mothers of Toddlers,MAP,OUT,non_pharma,App-based psychoeducation program; non-pharmacological
16,36424267,A cross-cultural randomized pilot trial of western-based and five elements music therapy for psychological well-being,MAP,OUT,non_pharma,Music therapy intervention; non-pharmacological
19,32036277,An investigation of cortical thickness and antidepressant response in major depressive disorder: A CAN-BIND study report,MAP,OUT,secondary_analysis,Secondary analysis of CAN-BIND RCT; reports neuroimaging correlates of treatment response not main clinical results
19,34052828,A double-blind placebo-controlled trial of minocycline on translocator protein distribution volume in treatment-resistant major depressive disorder,MAP,OUT,mechanistic,Primary outcome is TSPO VT (PET neuroimaging biomarker) not clinical depression outcomes; mechanistic study (n=21)
20,39862881,Intranasal oxytocin for apathy in people with frontotemporal dementia (FOXY),MAP,MAP,dementia,Phase 2a/2b RCT; FTD/major neurocognitive disorder (DSM-5); pharma (oxytocin); Canadian multicentre trial; 2025; main results
22,32068562,Safety and Efficacy of Varenicline for Smoking Cessation in Alcohol-Dependent Smokers in Concurrent Treatment for Alcohol Use Disorder,MAP,MAP,substance_use,Pilot RCT placebo-controlled; tobacco+alcohol use disorder (DSM-5); pharma (varenicline); Canadian site (CAMH Toronto); 2020; main results
