id,title,decision,category,confidence,notes
38393913,Vaccines and Dementia: Part II. Efficacy of BCG and Other Vaccines Against Dementia.,OUT_OF_SCOPE,review,0.99,Review article; not an RCT.
38385994,Associations of MSK1 Methylation and Executive Function With Suicidal Ideation in Adolescents With Major Depressive Disorder: A Prospective Cohort Study.,OUT_OF_SCOPE,observational,0.95,Prospective cohort study; not an RCT.
38370556,Electroacupuncture versus Escitalopram for mild to moderate Post-Stroke Depression: A randomized non-inferiority trial.,OUT_OF_SCOPE,non-Canadian,0.95,China-based RCT; not Canadian.
38352079,"Mental Illness Diagnoses May Not Cause All Mental Symptoms: A Simulation Study for Major Depressive Episodes, Dysthymic Disorder, and Manic Episodes.",OUT_OF_SCOPE,not RCT; simulation,0.99,Simulation/computational study; not an interventional RCT.
38343833,Because We Love You (BeWeL): A protocol for a randomized controlled trial of two brief interventions focused on social and cultural connectedness to reduce risk for suicide and substance misuse in young Alaska Native people.,OUT_OF_SCOPE,protocol; non-pharma; non-Canadian,0.95,Protocol without results; non-pharmacological; US-based (Alaska).
38343313,Harnessing Placebo Effects for the Treatment of Functional Cognitive Disorder: A Feasibility Pilot Study.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.9,US-based; sham TMS (non-pharma); functional cognitive disorder not standard MH dx.
38342033,"Efficacy of accelerated deep transcranial magnetic stimulation wi̇th double cone coi̇l in obsessive-compulsive disorder: A double-blind, placebo-controlled study.",OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,Not Canadian; TMS is non-pharmacological intervention.
38336164,The efficacy and safety of sertraline in maintenance hemodialysis patients with depression: A randomized controlled study.,OUT_OF_SCOPE,non-Canadian,0.95,China-based single-center RCT; not Canadian.
38332909,Serum S100A8/A9 and MMP-9 levels are elevated in systemic lupus erythematosus patients with cognitive impairment.,OUT_OF_SCOPE,observational,0.95,Observational study; not an RCT. Some Canadian authors but not interventional.
38330322,"Pretreatment relationship characteristics predict outcomes from an uncontrolled trial of intensive, multicouple group PTSD treatment.",OUT_OF_SCOPE,non-Canadian; uncontrolled,0.95,US military study; uncontrolled trial; not Canadian.
38327498,High-frequency rTMS over bilateral primary motor cortex improves freezing of gait and emotion regulation in patients with Parkinson's disease: a randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; not MH pharma,0.95,China; rTMS for Parkinson's motor symptoms; non-pharma.
38325605,The magnitude and sustainability of treatment benefit of zuranolone on function and well-being as assessed by the SF-36 in adult patients with MDD and PPD: An integrated analysis of 4 randomized clinical trials.,OUT_OF_SCOPE,non-Canadian,0.85,US-based integrated analysis of zuranolone trials; no Canadian sites identified.
38321914,Intergenerational Effects of the Fast Track Intervention on Next-Generation Child Outcomes: A Preregistered Randomized Clinical Trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,US-based; non-pharmacological psychosocial intervention.
38313658,Use of cognitive-behavioral career coaching to reduce work anxiety and depression in public employees.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,Nigeria; non-pharmacological (CBT coaching).
38312234,Instant and short-term effects of acupuncture for depression and anxiety in unstable angina pectoris patients with percutaneous coronary interventions.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,China; acupuncture (non-pharma).
38306509,"Application effect of behavioral cognition combined with psychological intervention on orthodontic patients: A prospective, randomized, controlled trial.",OUT_OF_SCOPE,non-Canadian; non-pharma; not MH,0.95,China; non-pharma; orthodontic patients not MH population.
38306352,A computational model to characterize the time-course of response to rapid antidepressant therapies.,OUT_OF_SCOPE,not RCT; computational study,0.9,Computational modeling study; not an interventional RCT. Canadian PI (Nunes at Dalhousie) but no clinical trial.
38301091,Celecoxib in Treatment of Postpartum Depression: A Case Report.,OUT_OF_SCOPE,case report,0.99,Case report; not an RCT.
38293596,Comparing the efficacy of duloxetine and nortriptyline in alleviating the symptoms of functional dyspepsia - a randomized clinical trial.,OUT_OF_SCOPE,non-Canadian; not MH primary,0.95,"Iran; primary condition is functional dyspepsia, not diagnosed MH disorder."
38285160,Study of electronic biofeedback combined with nursing intervention in the treatment of vascular cognitive impairment-no dementia.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH,0.95,China; non-pharma (biofeedback); cognitive impairment not MH disorder.
38281595,Individual deviations from normative electroencephalographic connectivity predict antidepressant response.,OUT_OF_SCOPE,secondary analysis; non-Canadian,0.9,Secondary analysis of EEG data from US trials; not a primary Canadian RCT.
38276013,"A Comparison of the Anxiolytic Properties of Tofisopam and Diazepam: A Double-Blind, Randomized, Crossover, Placebo-Controlled Pilot Study.",OUT_OF_SCOPE,non-Canadian,0.95,Poland-based; not Canadian.
38271079,A pilot trial of a brief intervention for cannabis use supplemented with a substance-free activity session or relaxation training.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,US-based; non-pharmacological intervention (motivational + behavioral).
38263368,The effect of music on the operating surgeon: a pilot randomized crossover trial (the MOSART study).,OUT_OF_SCOPE,non-Canadian; not MH; non-pharma,0.99,New Zealand; music for surgeon stress; not MH pharmacotherapy.
38260017,Effect of deep brain stimulation compared with drug therapy alone on the progression of Parkinson's disease.,OUT_OF_SCOPE,non-Canadian; not MH primary,0.95,"China; Parkinson's disease (neurological, not MH primary); DBS vs drug."
38259422,Evaluating the impact of motivational interviewing on engagement and outcomes in a web-based self-help intervention for gambling disorder: A randomised controlled trial.,OUT_OF_SCOPE,non-pharma,0.9,Canadian RCT but non-pharmacological intervention (web-based self-help + motivational interviewing for gambling).
38258865,Associations of Methadone and BUP/NX Dose Titration Patterns With Retention in Treatment and Opioid Use in Individuals With Prescription-Type Opioid Use Disorder: Secondary Analysis of the OPTIMA Study.,OUT_OF_SCOPE,secondary analysis,0.85,"Canadian OPTIMA study but this is a secondary analysis, not the primary RCT report."
38258568,Healthcare utilization before and during the COVID-19 pandemic among mothers and birthing parents with elevated levels of postpartum depression symptoms.,OUT_OF_SCOPE,observational; non-pharma,0.85,Canadian but observational study of healthcare utilization; non-pharmacological intervention in parent RCTs.
38253032,Toward a nuanced assessment of the role of intensive home visiting in improving outcomes for families: commentary on Catherine et al. (2023).,OUT_OF_SCOPE,commentary,0.99,"Commentary, not an RCT."
38247574,Effect of cognitive behavior therapy based on the health education pathway on psychology of papillary thyroid carcinoma patients: a randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH primary,0.95,China; non-pharma (CBT); thyroid cancer patients.
38241803,Effects of lavender essential oil inhalation aromatherapy on depression and sleep quality in stroke patients: A single-blind randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,China; non-pharmacological (aromatherapy).
38237637,"Therapeutic Effects of Tamsulosin in Nightmare Disorder: A Randomized, Double Blind, Placebo-Controlled, Cross-Over, Pilot Study.",OUT_OF_SCOPE,non-Canadian,0.95,Iran; not Canadian.
38234393,Feasibility Study of the Boston Naming Test for the Arab Population.,OUT_OF_SCOPE,not RCT; not MH,0.99,Neuropsychological test validation; not an RCT; not MH pharmacotherapy.
38232776,"Efficacy of transcranial direct current stimulation for treating anhedonia in patients with depression: A randomized, double-blind, sham-controlled clinical trial.",OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,China; tDCS (non-pharmacological).
38232439,Association between high-threshold practices and buprenorphine treatment termination.,OUT_OF_SCOPE,non-Canadian; observational,0.95,US (Michigan) survey study; not an RCT.
38228914,Connectivity-guided intermittent theta burst versus repetitive transcranial magnetic stimulation for treatment-resistant depression: a randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,UK five-center trial; non-pharmacological (TMS).
38228395,"Pharmacometabolomics in Drug Disposition, Toxicity, and Precision Medicine.",OUT_OF_SCOPE,review,0.99,Review article; not an RCT.
38218932,Active versus sham DLPFC-NAc rTMS for depressed adolescents with anhedonia using resting-state functional magnetic resonance imaging (fMRI): a study protocol for a randomized placebo-controlled trial.,OUT_OF_SCOPE,protocol; non-Canadian; non-pharma,0.95,China; protocol without results; non-pharma (TMS).
38216917,Adjuvant administration of probiotic effects on sexual function in depressant women undergoing SSRIs treatment: a double-blinded randomized controlled trial.,OUT_OF_SCOPE,non-Canadian,0.95,Iran-based RCT; not Canadian.
38204767,The Effectiveness of Rajyoga Meditation as an Adjuvant for Panic Anxiety Syndrome.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,India; non-pharmacological (meditation).
38199406,"Efficacy and safety of intermittent theta burst stimulation on adolescents and young adults with major depressive disorder: A randomized, double blinded, controlled trial.",OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,China; non-pharma (TMS).
38192206,Efficacy and safety of pregabalin vs carbamazepine in patients with central post-stroke pain.,OUT_OF_SCOPE,non-Canadian; not MH primary,0.95,"China; primary condition is central post-stroke pain, not MH disorder."
38186634,Brain ventricle and choroid plexus morphology as predictor of treatment response in major depression: Findings from the EMBARC study.,OUT_OF_SCOPE,non-Canadian; secondary analysis,0.95,US EMBARC study secondary analysis; not Canadian.
38170541,Home-Use Transcranial Direct Current Stimulation for the Treatment of a Major Depressive Episode: A Randomized Clinical Trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,Brazil; non-pharmacological (tDCS).
38167460,Correction: Clinical and cost-effectiveness of a New psychosocial intervention to support Independence in Dementia (NIDUS-family) for family carers and people living with dementia in their own homes: a randomised controlled trial,OUT_OF_SCOPE,correction; non-Canadian,0.99,Correction notice; UK study.
38165374,FDA Patient-Focused Drug Development Guidances: Considerations for Trial Readiness in Rare Developmental and Epileptic Encephalopathies.,OUT_OF_SCOPE,not RCT; regulatory guidance,0.99,Regulatory guidance review; not an RCT.
38164826,An investigation into the correlation between early-to-mid pregnancy exercise combined with cognitive behavioral therapy and anxiety levels and quality of life in patients.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,China; non-pharma (exercise + CBT).
38160889,"Prospectively assessed summer mood status in major depression, recurrent with seasonal pattern: Evidence for SAD's construct validity.",OUT_OF_SCOPE,non-Canadian; observational followup,0.9,US-based; observational summer followup of SAD trial participants; not a primary RCT.
38158049,Evaluating the impact of adjunct bright light therapy on subjective sleep quality in major depressive disorder.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,Italy; non-pharma (light therapy).
38156242,Effect of acupuncture on mild cognitive impairment in the elderly: A randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH,0.95,China; acupuncture (non-pharma); MCI not diagnosed MH disorder.
38151181,"Effect of Chaihu-Shugan-San on functional dyspepsia and gut microbiota: A randomized, double-blind, placebo-controlled trial.",OUT_OF_SCOPE,non-Canadian; not MH,0.95,China; functional dyspepsia not MH disorder.
38150768,"TMS in combination with a pain directed intervention for the treatment of fibromyalgia - A randomized, double-blind, sham-controlled trial.",OUT_OF_SCOPE,non-Canadian; non-pharma; not MH primary,0.95,Israel; TMS for fibromyalgia pain; not MH pharmacotherapy.
38149653,Effects of contralateral versus ipsilateral electroacupuncture for analgesia and rehabilitation after unilateral total knee arthroplasty: a randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH,0.99,China; electroacupuncture for post-surgical pain; not MH.
38143779,A Hierarchical Multi-Dimensional Cognitive Training Program for Preventive Cognitive Decline in Acute Ischemic Stroke Patients: Study Protocol for a Randomized Controlled Trial.,OUT_OF_SCOPE,protocol; non-Canadian; non-pharma,0.95,China; protocol without results; non-pharma.
38141403,"Safety and tolerability of inhaled N,N-Dimethyltryptamine (BMND01 candidate): A phase I clinical trial.",OUT_OF_SCOPE,non-Canadian; not MH (healthy volunteers),0.95,Brazil; Phase I in healthy volunteers; not treating diagnosed MH disorder.
38138957,Effects of Anxious Depression on Antidepressant Treatment Response.,OUT_OF_SCOPE,non-Canadian,0.95,Germany; naturalistic study; not Canadian.
38130375,Duloxetine plus exercise for knee osteoarthritis and depression: A feasibility study.,OUT_OF_SCOPE,non-Canadian,0.9,US (University of Maryland/VA); feasibility study.
38116669,The efficacy and safety of adding celecoxib to escitalopram for improving symptoms of major depressive disorder.,OUT_OF_SCOPE,non-Canadian,0.95,Iran-based RCT; not Canadian.
38106401,"Effects of self-help mindfulness-based cognitive therapy on mindfulness, symptom change, and suicidal ideation in patients with depression: a randomized controlled study.",OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,China; non-pharma (MBCT self-help).
38101205,Neurobiological basis of reinforcement-based decision making in adults with ADHD treated with lisdexamfetamine dimesylate: Preliminary findings and implications for mechanisms influencing clinical improvement.,OUT_OF_SCOPE,non-Canadian,0.85,US-based crossover study; not Canadian site.
38100389,"Influence of Neostigmine on Early Postoperative Cognitive Dysfunction in Older Adult Patients Undergoing Noncardiac Surgery: A Double-Blind, Placebo-Controlled, Randomized Controlled Trial.",OUT_OF_SCOPE,non-Canadian; not MH,0.95,China; postoperative cognitive dysfunction; not diagnosed MH disorder.
38086858,Clinical efficacy of the mulligan maneuver for cervicogenic headache: a randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH,0.99,China; physical therapy for headache; not MH.
38082225,Effects of anterior approach to quadratus lumborum block on postoperative cognitive function following hip surgery in older people: a randomized controlled clinical trial.,OUT_OF_SCOPE,non-Canadian; not MH,0.99,China; nerve block for surgical analgesia; not MH.
38079408,Can new approaches to synthesising evidence help achieve a consensus in psychotherapy research?,OUT_OF_SCOPE,commentary; not RCT,0.99,Commentary/review; not an RCT.
38079034,Brief Report: Virtual Reality to Raise Awareness About Autism.,OUT_OF_SCOPE,non-pharma; not MH treatment,0.95,Canadian (Montreal) but non-pharmacological (VR simulation); not treating diagnosed MH disorder.
38064630,Effects of Traditional Chinese Medicine Five-Element Music Therapy Combined with Mirtazapine on Depression and Limb Function Recovery After Ischemic Stroke.,OUT_OF_SCOPE,non-Canadian,0.95,China; not Canadian.
38064262,"The Role of Daily Steps in the Treatment of Major Depressive Disorder: Secondary Analysis of a Randomized Controlled Trial of a 6-Month Internet-Based, Mindfulness-Based Cognitive Behavioral Therapy Intervention for Youth.",OUT_OF_SCOPE,secondary analysis; non-pharma,0.9,Canadian (CAMH) but secondary analysis; non-pharmacological intervention (internet MBCBT).
38060308,Repetitive Transcranial Magnetic Stimulation With and Without Text4Support for the Treatment of Resistant Depression: Protocol for a Patient-Centered Multicenter Randomized Controlled Pilot Trial.,OUT_OF_SCOPE,protocol; non-pharma,0.9,Canadian (Edmonton/Halifax) but protocol without results; non-pharmacological (rTMS + text messaging).
38059944,Identifying who benefits most from supportive versus expressive techniques in psychotherapy for depression: Moderators of within- versus between-individual effects.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,US-based; non-pharmacological (psychotherapy).
38055283,Clinical Outcomes of Magnetic Seizure Therapy vs Electroconvulsive Therapy for Major Depressive Episode: A Randomized Clinical Trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,US (3 academic hospitals); non-pharmacological (MST vs ECT).
38049760,Abnormal alterations of regional spontaneous neuronal activity and functional connectivity in insomnia patients with difficulty falling asleep: a resting-state fMRI study.,OUT_OF_SCOPE,observational; non-Canadian,0.95,China; observational fMRI study; not an RCT.
38043646,EEG synchronized left prefrontal transcranial magnetic stimulation (TMS) for treatment resistant depression is feasible and produces an entrainment dependent clinical response: A randomized controlled double blind clinical trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,US-based; non-pharmacological (TMS).
38035737,"Add-on pramipexole for anhedonic depression: study protocol for a randomised controlled trial and open-label follow-up in Lund, Sweden.",OUT_OF_SCOPE,non-Canadian; protocol,0.95,Sweden; protocol without results.
38026787,"The Impact of Injectable Opioid Agonist Treatment (iOAT) on Involvement in Criminalized Activities: A Secondary Analysis from a Clinical Trial in Vancouver, BC.",OUT_OF_SCOPE,secondary analysis,0.85,Canadian (Vancouver) SALOME trial but secondary analysis of police records; not primary RCT report.
38022835,"A 6-week, phase IIb, randomized, double-blind, placebo-controlled trial of Anyu Peibo capsules for the treatment of major depressive disorder in adults.",OUT_OF_SCOPE,non-Canadian,0.95,China (9 centers); not Canadian.
38009933,Pharmacogenetics of Biochemically Verified Abstinence in an Opioid Agonist Therapy Randomized Clinical Trial of Methadone and Buprenorphine/Naloxone.,OUT_OF_SCOPE,secondary analysis,0.85,"Canadian OPTIMA trial but pharmacogenetics secondary analysis, not primary RCT."
37989532,Antidepressant effects of dexmedetomidine compared with ECT in patients with treatment-resistant depression.,OUT_OF_SCOPE,non-Canadian,0.95,China; not Canadian.
37971845,"Effect of music on preoperative anxiety using the Hamilton State-Trait Anxiety Inventory (STAI) in patients undergoing cataract surgery in the University of Nigeria Teaching Hospital, Ituku Ozalla.",OUT_OF_SCOPE,non-Canadian; non-pharma; not MH,0.99,Nigeria; music for surgical anxiety; non-pharma; not diagnosed MH disorder.
37969858,Increased functional connectivity between the midbrain and frontal cortex following bright light therapy in subthreshold depression: A randomized clinical trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,China; non-pharma (light therapy); subthreshold depression.
37960717,Evaluation of a Video-Based Education Intervention for Parents of Children Undergoing Fontan Surgery: A Cluster Randomized Controlled Trial.,OUT_OF_SCOPE,non-pharma; not MH,0.95,Canadian (Edmonton) but non-pharmacological (video education); not treating diagnosed MH disorder.
37957926,Assessing the efficacy and safety of Craniosacral therapy for migraine: A single center randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH,0.99,China; physical therapy for migraine; not MH.
37952772,Is intravenous valproate more efficacious than oral valproate for inpatients with bipolar I disorder with a manic or depressive episode and concomitant symptoms of opposite polarity?,OUT_OF_SCOPE,non-Canadian; not randomized,0.9,Italy; retrospective non-randomized study; not Canadian.
37943587,The efficacy of citalopram or escitalopram in patients with asthma and major depressive disorder.,OUT_OF_SCOPE,non-Canadian,0.9,US-based (UT Southwestern); pooled analysis of 3 trials; not Canadian.
37938152,Effect of Electroacupuncture Versus Cognitive Behavioral Therapy for Perimenopausal Insomnia: Protocol for a Noninferiority Randomized Controlled Trial.,OUT_OF_SCOPE,non-Canadian; non-pharma; protocol,0.95,China; protocol; non-pharma (acupuncture vs CBT).
37934579,Comparing the effectiveness of CBT and low-frequency rTMS in reducing symptom severity and depression and improving working memory in adults with OCD: a clinical trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,Iran; non-pharmacological (CBT and rTMS).
37930200,Supporting Clinical Competencies in Men's Mental Health Using the Men in Mind Practitioner Training Program: User Experience Study.,OUT_OF_SCOPE,non-pharma; not patient treatment,0.95,Practitioner training program; non-pharmacological; not treating patients with diagnosed MH disorders.
37933521,"Adjunctive brexpiprazole 1 mg and 2 mg daily for Japanese patients with major depressive disorder following inadequate response to antidepressants: a phase 2/3, randomized, double-blind (BLESS) study.",OUT_OF_SCOPE,non-Canadian,0.95,Japan; not Canadian.
37930199,The Relationship of Early Sleep Improvement With Response to Pharmacotherapy in Unipolar Psychotic Depression.,OUT_OF_SCOPE,non-Canadian; secondary analysis,0.95,Netherlands; secondary analysis of RCT.
37922732,"The effect of zolpidem-CR on the suicide item of the Hamilton Rating Scale for Depression in outpatients with depression, insomnia and suicidal ideation: Lessons learned.",OUT_OF_SCOPE,non-Canadian; secondary analysis,0.95,US REST-IT study secondary analysis; not Canadian.
37915094,"Examining the impact of a universal social and emotional learning intervention (Passport) on internalising symptoms and other outcomes among children, compared to the usual school curriculum: study protocol for a school-based cluster randomised trial.",OUT_OF_SCOPE,non-Canadian; non-pharma; protocol,0.95,UK; protocol; non-pharma school-based intervention.
37913740,Development and validation of Ayurveda based assessment scale for anxiety.,OUT_OF_SCOPE,non-Canadian; scale validation,0.95,India; scale validation study.
37907321,Worsening stimulant use disorder outcomes coinciding with off-label antipsychotic prescribing: a commonly unrecognised side effect?,OUT_OF_SCOPE,case report,0.95,Canadian (Vancouver) but case report; not an RCT.
37907036,"Comparison of tandospirone and escitalopram as a symptomatic treatment in Multiple System Atrophy-cerebellar ataxia: An open-label, non-controlled, 4 weeks observational study.",OUT_OF_SCOPE,observational; non-Canadian,0.95,China; observational non-controlled study; not Canadian.
37905735,Methylxanthine for the prevention and treatment of apnea in preterm infants.,OUT_OF_SCOPE,review; not MH,0.99,Cochrane systematic review; neonatal apnea not MH disorder.
37899716,Associations Between Buprenorphine\Naloxone and Methadone Treatment and non-Opioid Substance Use in Prescription-Type Opioid Use Disorder: Secondary Analyses From the OPTIMA Study,OUT_OF_SCOPE,secondary analysis,0.85,Canadian OPTIMA trial but secondary analysis; not primary RCT.
37893840,Benefits of Urban Forest Healing Program on Depression and Anxiety Symptoms in Depressive Patients.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,South Korea; non-pharmacological (forest healing).
37887975,Can Leucine Supplementation Improve Frailty Index Scores?,OUT_OF_SCOPE,not MH; non-Canadian,0.99,Spain; leucine supplementation for frailty; not MH.
37886444,Comparing sleep measures in cancer survivors: Self-reported sleep diary versus objective wearable sleep tracker.,OUT_OF_SCOPE,not MH; not RCT primary,0.95,Secondary analysis of sleep data; not MH pharmacotherapy.
37881420,A Comparison between Single and Double-Dose Intravenous Ketamine Administration in Bipolar Mood Disorder: A Double-Blind Controlled Clinical Trial.,OUT_OF_SCOPE,non-Canadian,0.95,Iran; not Canadian.
37878284,"A Standardized Withania somnifera (Linn.) Root Extract with Piperine Alleviates the Symptoms of Anxiety and Depression by Increasing Serotonin Levels: A Double-Blind, Randomized, Placebo-Controlled Study.",OUT_OF_SCOPE,non-Canadian,0.95,India; not Canadian; mild-moderate symptoms not necessarily diagnosed MH disorder.
37875578,Efficacy and safety of zuranolone co-initiated with an antidepressant in adults with major depressive disorder: results from the phase 3 CORAL study.,OUT_OF_SCOPE,non-Canadian,0.85,US-based Phase 3 trial; no Canadian sites identified in abstract.
37865342,Efficacy and moderators of metacognitive training for depression in older adults (MCT-Silver): A randomized controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,Germany; non-pharma (metacognitive training).
37863972,Rapid improvements and subsequent effects in major depressive disorder patients with somatic pain using rTMS combined with sertraline.,OUT_OF_SCOPE,non-Canadian,0.95,China; not Canadian.
37863366,Specialist treatment for persistent depression in secondary care: Sustained effects from a multicentre UK study at 24 and 36 months.,OUT_OF_SCOPE,non-Canadian,0.95,UK; not Canadian.
37857544,Efficacy of Tuina in chronic low back pain with anxiety: study protocol for a randomised controlled trial.,OUT_OF_SCOPE,non-Canadian; non-pharma; protocol,0.95,China; protocol; non-pharma (physical therapy).
37854169,"Influence of Melatonin Treatment on Emotion, Sleep, and Life Quality in Perimenopausal Women: A Clinical Study.",OUT_OF_SCOPE,non-Canadian; not MH diagnosis,0.95,China; perimenopausal women not diagnosed with MH disorder.
37846462,Factors Associated with Antidepressant Effects of Ketamine: A Reanalysis of Double-Blind Randomized Placebo-Controlled Trial of Intravenous Ketamine for Treatment-Resistant Depression.,OUT_OF_SCOPE,non-Canadian; secondary analysis,0.95,Japanese authors reanalyzing US NIH trial data; not Canadian.
37842359,Comparison of Hamilton Depression Rating Scale and Montgomery-Åsberg Depression Rating Scale: Baked Straight From a Randomized Study.,OUT_OF_SCOPE,non-Canadian,0.95,India; not Canadian.
37830771,"myHealthHub for older adult inpatients to reduce loneliness, and improve patient engagement and mental health: protocol of a pilot randomized controlled trial.",OUT_OF_SCOPE,protocol; non-pharma,0.9,Canadian (Montreal) but protocol without results; non-pharmacological intervention.
37827257,Effect of aripiprazole on promoting cognitive function and enhancing clinical efficacy in patients with first-episode depression on escitalopram: A randomized controlled trial.,OUT_OF_SCOPE,non-Canadian,0.95,China; not Canadian.
37816252,Association Between Post-COVID Pulmonary Dysfunction and New-Onset Anxiety and Depression and the Impact of Incentive Spirometer-Based Exercises.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,India; non-pharma (breathing exercises); post-COVID.
37815004,Effects of 3-month Qigong exercise on heart rate variability and respiration in anxious college students.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH diagnosis,0.95,China; non-pharma (Qigong); anxious students not necessarily diagnosed MH disorder.
37814607,Evaluating the Efficacy and Underlying Mechanisms of Acupuncture for Chronic Subjective Tinnitus Using Functional Near-Infrared Spectroscopy: Study Protocol for a Randomized Controlled Trial.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH; protocol,0.99,China; protocol; acupuncture for tinnitus.
37811314,Primary healthcare provider experience of knowledge brokering interventions for mood management.,OUT_OF_SCOPE,qualitative; non-pharma,0.95,Canadian (CAMH) but qualitative study of knowledge translation; not a pharmacological RCT.
37802223,Evaluation of audit and feedback to family physicians on prescribing of opioid analgesics to opioid-naïve patients: A pragmatic randomized delay trial.,OUT_OF_SCOPE,not MH treatment,0.9,"Canadian (BC) RCT but about reducing opioid prescribing for pain, not treating diagnosed MH disorder."
37800194,Circadian Reinforcement Therapy in Combination With Electronic Self-Monitoring to Facilitate a Safe Postdischarge Period for Patients With Major Depression: Randomized Controlled Trial.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,Denmark; non-pharmacological (circadian therapy).
37798662,An open-label pilot trial assessing tolerability and feasibility of LSD microdosing in patients with major depressive disorder (LSDDEP1).,OUT_OF_SCOPE,non-Canadian,0.95,New Zealand; not Canadian.
37795687,Cognitive behavioral therapy in patients with deep brain stimulation for obsessive-compulsive disorder: a matched controlled study.,OUT_OF_SCOPE,non-Canadian; non-pharma; not RCT,0.95,Netherlands; non-randomized matched controlled study; non-pharma.
