batch,id,title,original_decision,qa_decision,category,notes
11,39800452,Blarcamesine for the treatment of Early Alzheimer Disease: ANAVEX2-73-AD-004 Phase IIB/III trial,MAP,EXCLUDE,dementia,Multicenter trial in 5 countries (Australia primarily); no Canadian site identified; non-Canadian excluded
12,10.3233/adr-210296,Phase II (NAVIGATE-AD study) Results of LY3202626 Effects on Patients with Mild Alzheimer Disease Dementia,MAP,EXCLUDE,dementia,No Canadian site or PI identified from author list; US-based Eli Lilly trial; non-Canadian excluded
12,27438687,Combining moderators to identify clinical profiles of patients who will and will not benefit from aripiprazole augmentation for treatment resistant late-life MDD,MAP,EXCLUDE,depression,Exploratory secondary moderator analysis of a prior RCT - secondary analysis excluded
12,28143413,Use of the EMPOWER brochure to deprescribe sedative-hypnotic drugs in older adults with mild cognitive impairment,MAP,EXCLUDE,dementia,Post-hoc analysis of EMPOWER trial; educational brochure intervention not pharmacological; deprescribing study; non-pharma and secondary analysis
12,28526048,Mens and womens response to treatment and perceptions of outcomes in injectable opioid assisted treatment for severe opioid use disorder,MAP,EXCLUDE,substance_use,Secondary analysis of SALOME trial examining gender differences - secondary analysis excluded
12,28651701,Oxidative stress reduction related to the efficacy of n-3 PUFA in first episode schizophrenia: Secondary outcome analysis of the OFFER randomized trial,MAP,EXCLUDE,schizophrenia,Secondary outcome analysis of OFFER trial - explicitly stated secondary analysis; also conducted in Poland
12,29235659,Effect of Metabolic Syndrome on Late-Life Depression: Associations with Disease Severity and Treatment Resistance,MAP,EXCLUDE,depression,Secondary analysis of an RCT examining metabolic syndrome as moderator - secondary analysis excluded
12,30135032,12-week double-blind randomized multicenter study of agomelatine vs escitalopram in severe generalized anxiety disorder,MAP,INCLUDE,anxiety,RCT of agomelatine vs escitalopram for severe GAD (DSM-5 diagnosis); multicenter international including Canadian site (Van Ameringen is Canadian); pharma for MH; results 2018
12,30261917,Adaptive crossover designs for assessment of symptomatic treatments targeting behaviour in neurodegenerative disease: FOXY trial,MAP,EXCLUDE,dementia,Study protocol/design paper for FOXY trial - protocol without main results excluded
12,32280089,Concentration-Dependent Activity of Hydromethylthionine on Clinical Decline and Brain Atrophy in Behavioral Variant Frontotemporal Dementia,MAP,INCLUDE,dementia,Phase III RCT of hydromethylthionine in bvFTD; N=220; multicenter including Canadian site (Gauthier); pharma for MH; results 2020
13,26496015,Asenapine: Efficacy and safety of 5 and 10mg bid in a 3-week trial in adults with bipolar I disorder,MAP,INCLUDE,bipolar_mood,Phase IIIb RCT of asenapine vs placebo for acute bipolar I mania; international multicenter (McIntyre is Canadian co-author); pharma for MH; results 2016
13,27515452,The role of sleep quality and quantity in moderating the effectiveness of medication in the treatment of children with ADHD,MAP,INCLUDE,ADHD,RCT of long-acting MPH vs placebo in children with ADHD; Canadian study (Corkum Dalhousie); N=21 small but randomized placebo-controlled; pharma for MH; results 2017
13,27821210,Asenapine for the treatment of adults with an acute exacerbation of schizophrenia,MAP,INCLUDE,schizophrenia,RCT of asenapine vs placebo in acute schizophrenia exacerbation; international multicenter (McIntyre Canadian co-author); pharma for MH; results 2017
13,28647012,Striatal Activation Predicts Differential Therapeutic Responses to Methylphenidate and Atomoxetine,MAP,EXCLUDE,ADHD,Neuroimaging predictor study from a crossover trial; N=36; focus is on neuroimaging biomarker prediction not primary drug efficacy results; also US-based (no Canadian PI)
13,31721892,Association of BDNF HTR2A TPH1 SLC6A4 and COMT polymorphisms with tDCS and escitalopram efficacy,MAP,EXCLUDE,depression,Ancillary/secondary genetic analysis of ELECT-TDCS trial; conducted in Brazil not Canada; secondary analysis excluded
13,33092404,Minocycline as adjunctive treatment for major depressive disorder: Pooled data from two randomized controlled trials,MAP,EXCLUDE,depression,Pooled analysis of two separate RCTs - pooled/secondary analysis excluded; trials conducted in Pakistan and Australia not Canada
13,34782701,Rostral anterior cingulate network effective connectivity in depressed adolescents and associations with treatment response,MAP,EXCLUDE,depression,Neuroimaging secondary analysis of an Australian RCT (Davey CG Melbourne); not Canadian; secondary analysis excluded
13,34971723,Electrophysiological correlates and predictors of the antidepressant response to repeated ketamine infusions in treatment-resistant depression,MAP,INCLUDE,depression,Canadian RCT of ketamine for TRD (Phillips and Blier Ottawa); EEG analysis but from the primary clinical trial; pharma for MH; results 2022
13,36151869,Amyloid-Related Imaging Abnormalities in the DIAN-TU-001 Trial of Gantenerumab and Solanezumab,MAP,EXCLUDE,dementia,Secondary ARIA safety analysis of DIAN-TU trial - not primary efficacy results; secondary analysis excluded
13,36516343,Real-world effectiveness of repeated ketamine infusions for treatment-resistant bipolar depression,MAP,EXCLUDE,bipolar_mood,Observational study (explicitly stated) not an RCT; Canadian site but non-randomized design excluded
13,36529623,Intravenous Ketamine for Late-Life Treatment-Resistant Depression: A Pilot Study,MAP,EXCLUDE,depression,Open-label pilot study without randomization - not an RCT; no control group; non-RCT excluded
13,37795512,The Montreal model: an integrative biomedical-psychedelic approach to ketamine for severe treatment-resistant depression,MAP,EXCLUDE,depression,Describes a clinical model/approach - not reporting RCT results; narrative/descriptive paper not an RCT
