batch,id,title,original_decision,qa_decision,category,notes
16,27305830,Visual working memory deterioration preceding relapse in psychosis,MAP,EXCLUDE,Pharmacological_Psychosis,"RCT of quetiapine continuation vs placebo discontinuation in first-episode psychosis. However, authors are Hui CLM, Li YK, etc. from Hong Kong (University of Hong Kong). No Canadian site or PI. Fails criterion 4 (non-Canadian)."
16,27754700,Effect of Aptensio XR (Methylphenidate HCl Extended-Release) Capsules on Sleep in Children with ADHD,MAP,EXCLUDE,Pharmacological_ADHD,"Two studies of MPH-MLR for ADHD. Authors are Owens J, Weiss M, Nordbrock E, etc. Weiss M is a Canadian PI (UBC). RCT; ADHD (DSM); methylphenidate (pharma); Canadian PI; 2016; English. However, the primary outcome is SLEEP measures (exploratory endpoints from pivotal studies). This is a secondary/exploratory analysis of sleep data from two pivotal RCTs, not the main results publication. Fails exclusion criterion (secondary analysis)."
16,28341540,Clinical meaningfulness of ADAS-Cog subscale change in relation to goal attainment in patients on cholinesterase inhibitors,MAP,EXCLUDE,Pharmacological_Dementia,"Exploratory post-hoc analysis comparing ADAS-Cog changes with Goal Attainment Scaling in patients on donepezil or galantamine. This is a secondary/exploratory analysis of previously published RCT data, not a main results publication. Rockwood K is Canadian. Fails exclusion criterion (secondary analysis)."
16,30153634,Serum and plasma BDNF and response in a randomized controlled trial of riluzole for treatment resistant depression,MAP,EXCLUDE,Pharmacological_Depression,"Biomarker (BDNF) analysis from an RCT of riluzole for TRD. Authors are Wilkinson ST, Kiselycznyk C, Banasr M, etc. - US-based (Yale, Baylor). Secondary biomarker analysis, not main results. Also non-Canadian. Fails criterion 4 (non-Canadian) and exclusion criterion (secondary analysis)."
16,31645229,Feasibility and efficacy of a hospital-based violence intervention program on reducing repeat violent injury in youth,MAP,EXCLUDE,Non-pharmacological,"RCT of an Emergency Department Violence Intervention Program. This is a behavioral/psychosocial intervention, not pharmacotherapy. Also, the target is violence-related injury, not a diagnosed MH condition. Fails criteria 2 and 3."
16,31763491,Rationale and design of an international randomized placebo-controlled trial of a 36-ingredient micronutrient supplement for children with ADHD: The MADDY study,MAP,EXCLUDE,Protocol_ADHD,This is a STUDY PROTOCOL ('Rationale and design'). No results reported. Fails exclusion criterion (protocol without results).
16,32421603,Efficacy and cost-effectiveness of intensive short-term dynamic psychotherapy for treatment resistant depression: Halifax depression trial,MAP,EXCLUDE,Non-pharmacological,"RCT of Intensive Short-Term Dynamic Psychotherapy (ISTDP) vs community mental health for TRD. ISTDP is a psychotherapy, not pharmacotherapy. Canadian (Halifax). Fails criterion 3 (non-pharma)."
16,32963103,Neural effects of oxytocin and mimicry in frontotemporal dementia: A randomized crossover study,MAP,EXCLUDE,Pharmacological_Dementia,"Randomized crossover of intranasal oxytocin in FTD. Canadian (Finger EC at Western). However, the outcome is fMRI BOLD signal (brain imaging), not clinical MH outcomes. This is a mechanistic neuroimaging study, not a clinical efficacy trial reporting main clinical results. N=28. Secondary/mechanistic analysis. Fails exclusion criterion (not main clinical results)."
16,33721740,The Impact of a Harry Potter-Based CBT Skills Curriculum on Suicidality and Well-being in Middle Schoolers,MAP,EXCLUDE,Non-pharmacological,"RCT of a CBT-based mental health literacy curriculum delivered by teachers. This is a psychoeducational/psychosocial intervention, not pharmacotherapy. Canadian (Toronto). Fails criterion 3 (non-pharma)."
16,34193961,Treatment of mixed depression with theta-burst stimulation: results from a double-blind randomized sham-controlled clinical trial,MAP,EXCLUDE,Neuromodulation_Depression,"RCT of theta-burst stimulation (TBS) for mixed depression. TBS is a form of transcranial magnetic stimulation (neuromodulation), not pharmacotherapy. Authors are from Brazil. Fails criterion 3 (non-pharma) and criterion 4 (non-Canadian)."
16,34261526,The safety and efficacy of fecal microbiota transplantation in bipolar disorder during depressive episodes: study protocol for a pilot RCT,MAP,EXCLUDE,Pharmacological_Bipolar,"This is a STUDY PROTOCOL ('study protocol for a pilot randomized controlled trial'). No results reported. Canadian (Taylor VH, Toronto). Fails exclusion criterion (protocol without results)."
16,35815022,Building Emotional Awareness and Mental Health (BEAM): A Pilot RCT of an App-Based Program for Mothers of Toddlers,MAP,EXCLUDE,Non-pharmacological,"Pilot RCT of an app-based psychoeducation program (BEAM) for mothers. This is a digital/psychosocial intervention, not pharmacotherapy. Participants are mothers (not diagnosed MH population). Fails criteria 2 and 3."
16,36424267,A cross-cultural randomized pilot trial of western-based and five elements music therapy for psychological well-being,MAP,EXCLUDE,Non-pharmacological,"Pilot RCT of music therapy interventions. Music therapy is not pharmacotherapy. N=35 total (23 from Canada, 12 from China). Participants selected for stress, not diagnosed MH conditions. Fails criteria 2 and 3."
19,32036277,An investigation of cortical thickness and antidepressant response in major depressive disorder: A CAN-BIND study report.,MAP,EXCLUDE,MAP,"CAN-BIND study - this is a neuroimaging biomarker analysis examining whether cortical thickness predicts antidepressant response. While it comes from an RCT of escitalopram (then aripiprazole add-on), this paper reports neuroimaging predictors of response, not the main clinical results. The main CAN-BIND results were published separately. Secondary/biomarker analysis. Fails exclusion criterion (secondary analysis)."
19,34052828,A double-blind placebo-controlled trial of minocycline on translocator protein distribution volume in treatment-resistant major depressive disorder.,MAP,EXCLUDE,MAP,"Double-blind placebo-controlled trial of minocycline in TRD. Canadian (Meyer JH, CAMH Toronto). However, n=21, and the primary outcome is TSPO VT (a PET neuroimaging biomarker of gliosis), not clinical MH outcomes. This is a mechanistic PET imaging study, not a clinical efficacy RCT reporting main clinical results. Fails criterion 5 (not main clinical results) - this is a biomarker/mechanistic study."
20,39862881,Intranasal oxytocin for apathy in people with frontotemporal dementia (FOXY),MAP,MAP,pharmacological RCT for FTD apathy in Canada,"Phase 2a/2b RCT; FTD with apathy (DSM-5 neurocognitive disorder); intranasal oxytocin vs placebo (pharma); Canadian sites and PIs (Hsiung at UBC, Laforce, Bherer - multicentre Canadian-led); 2025; English. Meets all criteria."
22,32068562,Safety and Efficacy of Varenicline for Smoking Cessation in Alcohol-Dependent Smokers in Concurrent Treatment for Alcohol Use Disorder.,MAP,MAP,pharmacological_rct,"Pilot RCT (randomized double-blind placebo-controlled); tobacco use disorder in comorbid alcohol dependence (both DSM-5 diagnoses); varenicline vs placebo (pharma targeting tobacco dependence); Canadian (Zawertailo, Le Foll, Selby - CAMH/University of Toronto); 2020; English. Meets all criteria."
